Item ID	Item value	Change in Kuiper test statistic when item removed
GALNT14	6.0	-0.0026315789473687623
TGFB1	19.0	-0.0026315789473687623
COL13A1	18.0	-0.0026315789473687623
FAM78A	21.0	0.04200279902034254
ITGA3	23.0	0.0499999999999996
KCNH8	13.0	-0.0026315789473687623
CITED4	7.0	-0.0026315789473687623
AMIGO2	13.0	-0.0026315789473687623
CADPS	19.0	-0.0026315789473687623
MYRIP	14.0	-0.0026315789473687623
STBD1	19.0	-0.0026315789473687623
SALL4	16.0	-0.0026315789473687623
PRDM16	5.0	0.0211101114609884
TRNP1	6.0	-0.0026315789473687623
DACT2	15.0	-0.0026315789473687623
RPRML	10.0	-0.0026315789473687623
FAM43B	19.0	-0.0026315789473687623
NEFH	6.0	-0.0026315789473687623
RAB11FIP4	12.0	-0.0026315789473687623
ABCG1	15.0	-0.0026315789473687623
