Item ID	Item value	Change in Kuiper test statistic when item removed
CSF1R	20.0	-0.012499999999999956
TGFB1	19.0	-0.012499999999999956
IL4R	19.0	-0.012499999999999956
RGS16	19.0	-0.012499999999999956
AVIL	23.0	-0.005282526115859332
TNFAIP2	19.0	-0.012499999999999956
CIB1	19.0	-0.012499999999999956
SNX10	12.0	0.054166666666666696
TRAF1	2.0	0.054166666666666696
TNF	20.0	-0.012499999999999956
MFAP1	23.0	-0.005282526115859332
TRIM5	2.0	0.054166666666666696
IRF1	18.0	-0.012499999999999956
BDKRB2	16.0	0.04637939221272558
CCR5	23.0	-0.005282526115859332
NFKBIE	20.0	-0.012499999999999956
