Item ID	Item value	Change in Kuiper test statistic when item removed
CHODL	8.0	-0.0039525691699604515
SLC15A1	9.0	-0.0039525691699606735
DUSP1	7.0	-0.0039525691699604515
NEXMIF	14.0	-0.0039525691699604515
ZBTB16	8.0	-0.0039525691699604515
MAMDC2	16.0	-0.0039525691699605625
FAM107A	13.0	-0.0039525691699604515
F13A1	16.0	-0.0039525691699605625
ATP1A2	6.0	-0.0039525691699604515
LIFR	8.0	-0.0039525691699604515
MCOLN2	14.0	-0.0039525691699604515
HOXD10	16.0	-0.0039525691699605625
LGALS2	16.0	-0.0039525691699605625
FLRT2	0.0	0.04150197628458496
CA2	4.0	0.02561662706590262
CLDN8	6.0	-0.0039525691699604515
CTSG	14.0	-0.0039525691699604515
MYH11	6.0	-0.0039525691699604515
CD36	7.0	-0.0039525691699604515
ASPA	4.0	0.02561662706590262
BEND5	15.0	-0.0039525691699604515
JAM2	2.0	0.04150197628458496
CDH19	9.0	-0.0039525691699606735
