Item ID	Item value	Change in Kuiper test statistic when item removed
DET1	1.0	-0.006493506493506329
GALNT14	6.0	0.00411255411255429
PIGO	2.0	-0.006493506493506329
MRPS14	2.0	-0.006493506493506329
JPT2	2.0	-0.006493506493506329
WWC1	6.0	0.00411255411255429
TRAM2	20.0	0.011688311688311859
PRSS23	14.0	0.011688311688311859
HK2	10.0	0.011688311688311859
ICAM1	16.0	0.011688311688311859
HHEX	17.0	0.011688311688311859
DEPTOR	4.0	-0.006493506493506329
PLAU	19.0	0.011688311688311859
FPGT	0.0	-0.006493506493506329
EFHD2	15.0	0.011688311688311859
UBXN8	3.0	-0.006493506493506329
SMCO4	2.0	-0.006493506493506329
ALG8	3.0	-0.006493506493506329
FGFBP1	15.0	0.011688311688311859
EDN1	11.0	0.011688311688311859
ZHX3	12.0	0.011688311688311859
ELOVL6	9.0	0.011688311688311859
CTPS1	3.0	-0.006493506493506329
WDR77	2.0	-0.006493506493506329
EML3	23.0	-0.006493506493506329
SLC5A6	3.0	-0.006493506493506329
NAV3	6.0	0.00411255411255429
NME7	2.0	-0.006493506493506329
BIRC5	15.0	0.011688311688311859
ZNF239	2.0	-0.006493506493506329
GEMIN6	23.0	-0.006493506493506329
FJX1	14.0	0.011688311688311859
SRSF7	1.0	-0.006493506493506329
PIGF	2.0	-0.006493506493506329
LIPT1	23.0	-0.006493506493506329
ZBED8	23.0	-0.006493506493506329
CDCA4	13.0	0.011688311688311859
NEDD4L	6.0	0.00411255411255429
GSTT2	1.0	-0.006493506493506329
TEX261	1.0	-0.006493506493506329
USP18	4.0	-0.006493506493506329
AURKA	21.0	0.011688311688311859
WDCP	23.0	-0.006493506493506329
BRIP1	13.0	0.011688311688311859
CCL2	22.0	0.011688311688311859
SLC25A20	4.0	-0.006493506493506329
SAC3D1	0.0	-0.006493506493506329
CBR3	20.0	0.011688311688311859
GINS2	6.0	0.00411255411255429
RRM2	22.0	0.011688311688311859
BDNF	11.0	0.011688311688311859
ADAT1	23.0	-0.006493506493506329
PEX12	23.0	-0.006493506493506329
DHODH	1.0	-0.006493506493506329
TMCO6	0.0	-0.006493506493506329
CDK5	3.0	-0.006493506493506329
