Item ID	Item value	Change in Kuiper test statistic when item removed
CYP2J2	6.0	-0.012499999999999956
RTP4	23.0	-0.012499999999999956
ORM1	23.0	-0.012499999999999956
ABCC5	2.0	-0.012499999999999956
QPRT	5.0	-0.012499999999999956
ADM	12.0	0.054166666666666696
ACSL3	3.0	-0.012499999999999956
OASL	23.0	-0.012499999999999956
DBNDD2	2.0	-0.012499999999999956
PER3	5.0	-0.012499999999999956
TSPAN8	1.0	-0.012499999999999956
CLDN8	6.0	-0.012499999999999956
SMCO4	2.0	-0.012499999999999956
TRMT1L	23.0	-0.012499999999999956
HDGFL3	12.0	0.054166666666666696
FKBP5	8.0	0.054166666666666696
