Item ID	Item value	Change in Kuiper test statistic when item removed
DCLRE1A	23.0	-0.006105834464043225
JPT1	1.0	-0.006105834464043225
PPP1R10	23.0	-0.006105834464043225
BRCA1	4.0	-0.006105834464043225
HS2ST1	16.0	0.009045680687471913
IFIH1	1.0	-0.006105834464043225
ZMYM1	2.0	-0.006105834464043336
DBP	2.0	-0.006105834464043336
PTTG1	15.0	0.009045680687471913
TBC1D31	24.0	-0.006105834464043225
OPA1	13.0	0.009045680687471913
FBXO4	15.0	0.009045680687471913
OIP5	0.0	-0.006105834464043225
PKNOX1	1.0	-0.006105834464043225
GTSE1	15.0	0.009045680687471913
HSP90AA1	4.0	-0.006105834464043225
CAD	2.0	-0.006105834464043336
TUBG1	20.0	0.009045680687471913
RAD23B	13.0	0.009045680687471913
CDC25B	23.0	-0.006105834464043225
SAP30	16.0	0.009045680687471913
TMEM138	9.0	0.009045680687471913
TIMELESS	3.0	-0.006105834464043225
CKS2	22.0	0.0014699231117144551
BIRC5	15.0	0.009045680687471913
KIF2C	19.0	0.009045680687471913
MTFR2	14.0	0.009045680687471913
LDAH	3.0	-0.006105834464043225
SRSF7	1.0	-0.006105834464043225
DCP2	24.0	-0.006105834464043225
SEC22C	16.0	0.009045680687471913
FKBP5	8.0	0.009045680687471913
PIF1	24.0	-0.006105834464043225
CDCA4	13.0	0.009045680687471913
TUBD1	22.0	0.0014699231117144551
ZNF518A	1.0	-0.006105834464043225
HMMR	20.0	0.009045680687471913
AURKA	21.0	0.005257801899593129
CENPC	13.0	0.009045680687471913
PRIMPOL	1.0	-0.006105834464043225
HSPD1	3.0	-0.006105834464043225
PSMC3IP	1.0	-0.006105834464043225
CCNB1	21.0	0.005257801899593129
BRIP1	13.0	0.009045680687471913
BCLAF1	12.0	0.009045680687471913
TAF1A	23.0	-0.006105834464043225
BRD8	1.0	-0.006105834464043225
CCT5	0.0	-0.006105834464043225
ZNF267	13.0	0.009045680687471913
FANCI	15.0	0.009045680687471913
ATF7IP	4.0	-0.006105834464043225
GINS2	6.0	0.009045680687471913
RRM2	22.0	0.0014699231117144551
POU2F1	14.0	0.009045680687471913
ATAD5	15.0	0.009045680687471913
ZNF184	21.0	0.005257801899593129
CEP152	0.0	-0.006105834464043225
CYP51A1	5.0	0.009045680687471913
KNOP1	1.0	-0.006105834464043225
FANCC	4.0	-0.006105834464043225
FAM111A	4.0	-0.006105834464043225
UBE2T	23.0	-0.006105834464043225
CENPJ	0.0	-0.006105834464043225
CENPN	14.0	0.009045680687471913
INTS7	1.0	-0.006105834464043225
DZIP3	3.0	-0.006105834464043225
MXD3	12.0	0.009045680687471913
