Item ID	Item value	Change in Kuiper test statistic when item removed
USP31	13.0	0.006327006327006224
JPT2	2.0	-0.005036630036630074
NEXMIF	14.0	0.006327006327006224
BRCA1	4.0	0.007950382950382917
MYOM2	3.0	-0.005036630036630074
HK2	10.0	0.007950382950382917
HS2ST1	16.0	0.006327006327006224
PTTG1	15.0	0.006327006327006224
CHORDC1	0.0	-0.005036630036630074
GRB10	13.0	0.006327006327006224
HMGB3P1	13.0	0.006327006327006224
DPF3	2.0	-0.005036630036630074
OIP5	0.0	-0.005036630036630074
SMCO4	2.0	-0.005036630036630074
LINC00339	23.0	-0.005036630036630074
GTSE1	15.0	0.006327006327006224
HSP90AA1	4.0	0.007950382950382917
ARG2	20.0	0.006327006327006224
RBM14	2.0	-0.005036630036630074
CTPS1	3.0	-0.005036630036630074
ACYP1	2.0	-0.005036630036630074
TUBG1	20.0	0.006327006327006224
THAP1	1.0	-0.005036630036630074
SLC5A6	3.0	-0.005036630036630074
RNF126	13.0	0.006327006327006224
SLCO4A1	5.0	0.007950382950382917
GORASP2	14.0	0.006327006327006224
ESRP1	10.0	0.007950382950382917
TRNP1	6.0	0.007950382950382917
TIMELESS	3.0	-0.005036630036630074
MT1F	16.0	0.006327006327006224
BIRC5	15.0	0.006327006327006224
SNRPA1	15.0	0.006327006327006224
KIF2C	19.0	0.006327006327006224
FJX1	14.0	0.006327006327006224
PPID	0.0	-0.005036630036630074
DCP2	24.0	-0.005036630036630074
ZNF232	23.0	-0.005036630036630074
ABHD3	2.0	-0.005036630036630074
CDCA4	13.0	0.006327006327006224
OMA1	2.0	-0.005036630036630074
HMMR	20.0	0.006327006327006224
METTL21A	23.0	-0.005036630036630074
APCDD1	14.0	0.006327006327006224
PRIMPOL	1.0	-0.005036630036630074
HSPD1	3.0	-0.005036630036630074
AURKA	21.0	0.006327006327006224
PSMC3IP	1.0	-0.005036630036630074
CCNB1	21.0	0.006327006327006224
BRIP1	13.0	0.006327006327006224
HSPH1	1.0	-0.005036630036630074
FLRT2	0.0	-0.005036630036630074
TAF1A	23.0	-0.005036630036630074
SMYD4	24.0	-0.005036630036630074
CBR3	20.0	0.006327006327006224
FANCI	15.0	0.006327006327006224
CRYGS	22.0	-0.003954378954379001
GINS2	6.0	0.007950382950382917
RRM2	22.0	-0.003954378954379001
SNAPIN	22.0	-0.003954378954379001
ATAD5	15.0	0.006327006327006224
NFYA	1.0	-0.005036630036630074
NFYB	0.0	-0.005036630036630074
CEP152	0.0	-0.005036630036630074
C1ORF21	14.0	0.006327006327006224
PER2	8.0	0.007950382950382917
FAM111A	4.0	0.007950382950382917
DBNDD2	2.0	-0.005036630036630074
BCL6	8.0	0.007950382950382917
CTH	22.0	-0.003954378954379001
CENPJ	0.0	-0.005036630036630074
UBE2T	23.0	-0.005036630036630074
TRMT13	0.0	-0.005036630036630074
CENPN	14.0	0.006327006327006224
TUBGCP3	15.0	0.006327006327006224
C11ORF58	15.0	0.006327006327006224
GALK2	2.0	-0.005036630036630074
ZNF354C	5.0	0.007950382950382917
