Item ID	Item value	Change in Kuiper test statistic when item removed
SLC27A1	2.0	-0.00782361308677082
ABHD3	2.0	-0.00782361308677082
MTMR8	0.0	-0.00782361308677082
HMGCR	1.0	-0.00782361308677082
PLA2G5	2.0	-0.00782361308677082
PIK3R1	8.0	0.019203413940256042
HSD17B7	23.0	-0.00782361308677093
MED16	2.0	-0.00782361308677082
MED18	24.0	-0.00782361308677093
ARNTL	17.0	0.019203413940256153
RXRB	21.0	0.019203413940256042
HSD11B2	11.0	0.019203413940256042
ALOX5	16.0	0.019203413940256042
LIPH	6.0	-0.00782361308677082
SPTSSB	4.0	-0.00782361308677082
CD36	7.0	0.019203413940256042
TNFAIP8L2	23.0	-0.00782361308677093
SLC25A20	4.0	-0.00782361308677082
MORC2	24.0	-0.00782361308677093
PRKACB	13.0	0.019203413940256042
CYP2J2	6.0	-0.00782361308677082
PLA2G4F	3.0	-0.00782361308677082
STARD5	1.0	-0.00782361308677082
NFYA	1.0	-0.00782361308677082
NFYB	0.0	-0.00782361308677082
EPHX2	6.0	-0.00782361308677082
CYP51A1	5.0	-0.00782361308677082
PLA2G4A	2.0	-0.00782361308677082
CYP4B1	6.0	-0.00782361308677082
ELOVL6	9.0	0.019203413940256042
ACSL3	3.0	-0.00782361308677082
NR1D1	0.0	-0.00782361308677082
PTGR2	3.0	-0.00782361308677082
MED23	14.0	0.019203413940256042
CYP39A1	3.0	-0.00782361308677082
CH25H	21.0	0.019203413940256042
MED20	23.0	-0.00782361308677093
CDS2	17.0	0.019203413940256153
