Item ID	Item value	Change in Kuiper test statistic when item removed
ERO1A	15.0	-0.012499999999999956
BNIP3L	16.0	-0.012499999999999956
ZNF395	14.0	-0.012499999999999956
IGFBP3	9.0	0.054166666666666585
CAV1	3.0	0.054166666666666585
SLC2A1	14.0	-0.012499999999999956
ADM	14.0	-0.012499999999999956
VLDLR	15.0	-0.012499999999999956
ENO2	17.0	-0.012499999999999956
HK2	15.0	-0.012499999999999956
CSRP2	23.0	0.054166666666666696
STBD1	14.0	-0.012499999999999956
B3GNT4	21.0	0.0289201183431953
PPFIA4	17.0	-0.012499999999999956
PGM1	18.0	-0.012499999999999956
PDK1	15.0	-0.012499999999999956
