Item ID	Item value	Change in Kuiper test statistic when item removed
CHODL	9.0	-0.00537634408602139
CFH	10.0	-0.00537634408602139
NEXMIF	13.0	-0.00537634408602139
MT1M	13.0	-0.00537634408602139
FAM107A	10.0	-0.00537634408602139
F13A1	11.0	-0.00537634408602139
ATP1A2	11.0	-0.00537634408602139
FBLN1	9.0	-0.00537634408602139
HOXD10	17.0	0.01607336005599047
TMEM100	7.0	-0.00537634408602139
CLEC3B	11.0	-0.00537634408602139
LGALS2	15.0	0.01217789654514223
FLRT2	1.0	0.027956989247311936
CA2	3.0	0.027956989247311936
CTSG	8.0	-0.00537634408602139
MYH11	9.0	-0.00537634408602139
CD36	9.0	-0.00537634408602139
BEND5	13.0	-0.00537634408602139
JAM2	5.0	0.027956989247311936
AOC3	13.0	-0.00537634408602139
SLC15A1	14.0	0.01217789654514223
CDKN2B	23.0	0.027956989247311936
SCARA5	9.0	-0.00537634408602139
DUSP1	9.0	-0.00537634408602139
ZBTB16	7.0	-0.00537634408602139
MCOLN2	16.0	0.016024050391296174
CCDC80	8.0	-0.00537634408602139
CXCL12	9.0	-0.00537634408602139
XKR4	15.0	0.01217789654514223
ASPA	2.0	0.027956989247311936
CDH19	11.0	-0.00537634408602139
