Item ID	Item value	Change in Kuiper test statistic when item removed
CCDC167	5.0	0.008999122036874141
PLVAP	10.0	0.00899912203687403
TFRC	19.0	0.008999122036874141
CPQ	11.0	0.008999122036874141
GALNT18	15.0	0.00899912203687403
LAMC1	15.0	0.00899912203687403
C1ORF74	13.0	0.008999122036874141
EPM2AIP1	23.0	-0.00592625109745426
C6ORF226	17.0	0.008999122036874141
BIVM	24.0	-0.00592625109745426
ZHX3	12.0	0.008999122036874141
VWF	13.0	0.008999122036874141
DESI1	3.0	-0.00592625109745426
TTC32	13.0	0.008999122036874141
IFRD2	2.0	-0.00592625109745426
ELOVL6	7.0	0.008999122036874141
ANO6	16.0	0.00899912203687403
BTN3A2	1.0	-0.00592625109745426
RFX5	0.0	-0.00592625109745426
CRY1	13.0	0.008999122036874141
TIMELESS	3.0	-0.00592625109745426
CKS2	23.0	-0.00592625109745426
SPARCL1	10.0	0.00899912203687403
GEMIN6	0.0	-0.00592625109745426
SLC25A4	15.0	0.00899912203687403
XPR1	2.0	-0.00592625109745426
PPID	24.0	-0.00592625109745426
FKBP5	8.0	0.008999122036874141
AARS2	2.0	-0.00592625109745426
SATB2	4.0	-0.00592625109745426
CSTF2	22.0	0.00899912203687403
NDUFA4L2	22.0	0.00899912203687403
NEDD4L	3.0	-0.00592625109745426
RBM4B	0.0	-0.00592625109745426
HSPA14	13.0	0.008999122036874141
AURKA	21.0	0.008999122036874141
SEC14L2	15.0	0.00899912203687403
WDCP	23.0	-0.00592625109745426
DRAM1	2.0	-0.00592625109745426
HSPH1	1.0	-0.00592625109745426
GMDS	8.0	0.008999122036874141
AMDHD1	4.0	-0.00592625109745426
DPH5	2.0	-0.00592625109745426
SLC38A9	1.0	-0.00592625109745426
CYYR1	6.0	0.008999122036874141
FAM83D	2.0	-0.00592625109745426
TRMT1L	1.0	-0.00592625109745426
CDR2	13.0	0.008999122036874141
FAM120AOS	2.0	-0.00592625109745426
NR2C2AP	24.0	-0.00592625109745426
GINS2	4.0	-0.00592625109745426
SDF2L1	4.0	-0.00592625109745426
IL10RB	23.0	-0.00592625109745426
IRX3	3.0	-0.00592625109745426
AKR1C3	2.0	-0.00592625109745426
ADAT1	23.0	-0.00592625109745426
NAGA	2.0	-0.00592625109745426
CYBRD1	2.0	-0.00592625109745426
BFAR	23.0	-0.00592625109745426
TEF	3.0	-0.00592625109745426
MFAP1	23.0	-0.00592625109745426
CDK5	2.0	-0.00592625109745426
UBE2T	24.0	-0.00592625109745426
CENPN	16.0	0.00899912203687403
CYSTM1	14.0	0.008999122036874141
SFXN2	2.0	-0.00592625109745426
SLC26A6	1.0	-0.00592625109745426
HSPA1A	1.0	-0.00592625109745426
