Item ID	Item value	Change in Kuiper test statistic when item removed
JPT1	1.0	-0.004918032786885185
DET1	0.0	-0.004918032786885185
PPP1R10	24.0	-0.004918032786885185
ITGB3	12.0	0.011748633879781534
BRCA1	4.0	0.0034153005464481745
DCAF7	23.0	-0.004918032786885185
NUDT4	16.0	0.011748633879781534
ZMYM1	24.0	-0.004918032786885185
PTTG1	17.0	0.011748633879781534
ADAMTS1	1.0	-0.004918032786885185
CDK20	24.0	-0.004918032786885185
LINC00339	1.0	-0.004918032786885185
PKNOX1	1.0	-0.004918032786885185
GTSE1	16.0	0.011748633879781534
NUDT13	23.0	-0.004918032786885185
BIVM	24.0	-0.004918032786885185
LMO4	23.0	-0.004918032786885185
SLC39A10	3.0	-0.004918032786885129
ACYP1	24.0	-0.004918032786885185
SAP30	20.0	0.011748633879781423
CDC25B	22.0	-0.004918032786885185
RNF126	12.0	0.011748633879781534
TMEM138	23.0	-0.004918032786885185
CKS2	23.0	-0.004918032786885185
BIRC5	16.0	0.011748633879781534
KIF2C	20.0	0.011748633879781423
LRIF1	22.0	-0.004918032786885185
RCCD1	0.0	-0.004918032786885185
SRSF7	2.0	-0.004918032786885185
MET	1.0	-0.004918032786885185
CCDC90B	0.0	-0.004918032786885185
PIF1	22.0	-0.004918032786885185
NNMT	9.0	0.011748633879781534
LRRC17	12.0	0.011748633879781534
MEPCE	22.0	-0.004918032786885185
TUBD1	23.0	-0.004918032786885185
TRMT2A	23.0	-0.004918032786885185
HMGCR	2.0	-0.004918032786885185
HMMR	22.0	-0.004918032786885185
AURKA	21.0	0.011748633879781534
CCNB1	22.0	-0.004918032786885185
BCLAF1	11.0	0.011748633879781534
BRD8	24.0	-0.004918032786885185
FAM83D	2.0	-0.004918032786885185
A2M	10.0	0.011748633879781534
CDR2	13.0	0.011748633879781534
ATF7IP	4.0	0.0034153005464481745
FANCI	14.0	0.011748633879781534
AOC3	13.0	0.011748633879781534
GINS2	4.0	0.0034153005464481745
ZRANB2	1.0	-0.004918032786885185
RRM2	23.0	-0.004918032786885185
CCDC14	3.0	-0.004918032786885129
AP4B1	2.0	-0.004918032786885185
ZC3HC1	23.0	-0.004918032786885185
POLA1	6.0	0.011748633879781534
COL7A1	0.0	-0.004918032786885185
UBE2T	24.0	-0.004918032786885185
KLF9	8.0	0.011748633879781534
INTS7	1.0	-0.004918032786885185
DZIP3	3.0	-0.004918032786885129
