Item ID	Item value	Change in Kuiper test statistic when item removed
C2ORF42	1.0	-0.011494252873563204
KDM3A	16.0	0.02298850574712641
DCLRE1C	1.0	-0.011494252873563204
KRCC1	1.0	-0.011494252873563204
CENPC	12.0	0.02298850574712641
ARNTL	16.0	0.02298850574712641
ZNF280D	4.0	0.02298850574712641
NFIL3	13.0	0.02298850574712641
TAF1A	23.0	-0.011494252873563204
NEK1	2.0	0.02298850574712641
BDKRB1	21.0	-0.011494252873563204
JUNB	21.0	-0.011494252873563204
RBM5	23.0	-0.011494252873563204
ZNF267	12.0	0.02298850574712641
ZNF222	22.0	-0.011494252873563204
EGR1	20.0	-0.004310344827586188
ZNF184	23.0	-0.011494252873563204
IFRD1	0.0	-0.011494252873563204
CLK4	22.0	-0.011494252873563204
GEM	10.0	0.02298850574712641
DUSP6	21.0	-0.011494252873563204
VEGFA	16.0	0.02298850574712641
CLK1	20.0	-0.004310344827586188
CTH	24.0	-0.011494252873563204
IRF7	0.0	-0.011494252873563204
CRY1	13.0	0.02298850574712641
LRIF1	22.0	-0.011494252873563204
NFKBIE	22.0	-0.011494252873563204
ATF3	24.0	-0.011494252873563204
BIRC3	1.0	-0.011494252873563204
