Item ID	Item value	Change in Kuiper test statistic when item removed
RTKN	1.0	-0.00367316341829077
UBXN2B	1.0	-0.00367316341829077
TFRC	19.0	0.00502248875562239
GABPB1	2.0	-0.00367316341829077
C1ORF74	13.0	0.005022488755622279
NUDT3	3.0	-0.00367316341829077
GLS	12.0	0.005022488755622279
PTTG1	17.0	0.005022488755622279
PLAU	19.0	0.00502248875562239
SACS	0.0	-0.00367316341829077
OIP5	2.0	-0.00367316341829077
PSPH	2.0	-0.00367316341829077
TP63	10.0	0.005022488755622279
METTL1	1.0	-0.00367316341829077
IFRD1	0.0	-0.00367316341829077
SETMAR	1.0	-0.00367316341829077
WDR75	13.0	0.005022488755622279
PRLR	17.0	0.005022488755622279
SLC5A6	1.0	-0.00367316341829077
SNHG15	24.0	-0.0036731634182907147
MINPP1	3.0	-0.00367316341829077
SNHG12	0.0	-0.00367316341829077
TIMELESS	3.0	-0.00367316341829077
SRSF7	2.0	-0.00367316341829077
HDGFL3	10.0	0.005022488755622279
FKBP5	8.0	0.005022488755622279
UBFD1	1.0	-0.00367316341829077
HMMR	22.0	0.003210894552723831
NREP	5.0	0.005022488755622279
HNRNPLL	22.0	0.003210894552723831
ZBTB2	12.0	0.005022488755622279
SOCS2	5.0	0.005022488755622279
NUAK1	2.0	-0.00367316341829077
LDHA	17.0	0.005022488755622279
BRIP1	13.0	0.005022488755622279
CCNB1	22.0	0.003210894552723831
BCL2L11	24.0	-0.0036731634182907147
CAMTA1	2.0	-0.00367316341829077
DPH5	2.0	-0.00367316341829077
ZNF267	12.0	0.005022488755622279
ZBED3	14.0	0.005022488755622279
FANCI	14.0	0.005022488755622279
CD163	11.0	0.00502248875562239
FANCL	2.0	-0.00367316341829077
UQCC2	5.0	0.005022488755622279
CAV1	3.0	-0.00367316341829077
CCDC14	3.0	-0.00367316341829077
KNOP1	1.0	-0.00367316341829077
BFAR	23.0	0.001399300349825272
PILRA	0.0	-0.00367316341829077
POLA1	6.0	0.005022488755622279
TFCP2	3.0	-0.00367316341829077
COL1A2	10.0	0.005022488755622279
CAPRIN1	13.0	0.005022488755622279
UBE2T	24.0	-0.0036731634182907147
NDUFAF5	12.0	0.005022488755622279
INTS7	1.0	-0.00367316341829077
XAF1	1.0	-0.00367316341829077
INTS8	1.0	-0.00367316341829077
ADA	2.0	-0.00367316341829077
LINC00665	24.0	-0.0036731634182907147
INTS13	23.0	0.001399300349825272
DOCK4	4.0	0.005022488755622279
USP31	14.0	0.005022488755622279
TNFAIP6	10.0	0.005022488755622279
FASTKD1	1.0	-0.00367316341829077
SNX10	13.0	0.005022488755622279
MTR	14.0	0.005022488755622279
LAMC1	15.0	0.005022488755622279
BRCA1	4.0	0.005022488755622279
RBM4	1.0	-0.00367316341829077
DESI1	3.0	-0.00367316341829077
SGIP1	10.0	0.005022488755622279
CAD	0.0	-0.00367316341829077
SLC39A10	3.0	-0.00367316341829077
LRRC40	14.0	0.005022488755622279
PLPBP	2.0	-0.00367316341829077
NAV1	13.0	0.005022488755622279
ANO6	16.0	0.005022488755622279
CTPS1	24.0	-0.0036731634182907147
SLC39A14	3.0	-0.00367316341829077
PDRG1	22.0	0.003210894552723831
CKS2	23.0	0.001399300349825272
BIRC5	16.0	0.005022488755622279
KIF2C	20.0	0.005022488755622279
ZNF512	2.0	-0.00367316341829077
MTFR2	11.0	0.00502248875562239
RCCD1	0.0	-0.00367316341829077
FJX1	14.0	0.005022488755622279
ZNF234	24.0	-0.0036731634182907147
COL15A1	9.0	0.005022488755622279
GOSR2	0.0	-0.00367316341829077
HSPA14	13.0	0.005022488755622279
METTL21A	24.0	-0.0036731634182907147
USP18	24.0	-0.0036731634182907147
AURKA	21.0	0.005022488755622279
HSPD1	1.0	-0.00367316341829077
PRIMPOL	0.0	-0.00367316341829077
PSMC3IP	2.0	-0.00367316341829077
DRAM1	2.0	-0.00367316341829077
MAT2A	1.0	-0.00367316341829077
TAF1A	23.0	0.001399300349825272
CCL2	24.0	-0.0036731634182907147
SF3B1	13.0	0.005022488755622279
BRD4	12.0	0.005022488755622279
GINS2	4.0	0.005022488755622279
RRM2	23.0	0.001399300349825272
NFYB	0.0	-0.00367316341829077
CEP152	1.0	-0.00367316341829077
GZMH	22.0	0.003210894552723831
KITLG	1.0	-0.00367316341829077
POLE2	13.0	0.005022488755622279
CENPJ	0.0	-0.00367316341829077
ASB9	6.0	0.005022488755622279
CENPN	16.0	0.005022488755622279
C11ORF58	14.0	0.005022488755622279
