Item ID	Item value	Change in Kuiper test statistic when item removed
RAB4B	1.0	-0.017543859649122973
RTKN	1.0	-0.017543859649122973
RRM2	23.0	-0.017543859649122973
ZMYND8	1.0	-0.017543859649122973
IFRD1	0.0	-0.017543859649122973
WDR75	13.0	0.03801169590643261
DCAF7	23.0	-0.017543859649122973
VEGFA	16.0	0.03801169590643261
AURKA	21.0	0.024122807017543657
CDC25B	22.0	-0.017543859649122973
CCNB1	22.0	-0.017543859649122973
LDHA	17.0	0.03801169590643261
PLAU	19.0	0.03801169590643261
DDIT4	15.0	0.03801169590643261
CKS2	23.0	-0.017543859649122973
TIMELESS	3.0	0.03801169590643261
GEMIN6	0.0	-0.017543859649122973
INTS7	1.0	-0.017543859649122973
CCT5	22.0	-0.017543859649122973
