Item ID	Item value	Change in Kuiper test statistic when item removed
RTP4	1.0	-0.02197802197802201
ABCB6	2.0	-0.02197802197802201
SP110	2.0	-0.02197802197802201
KCNJ13	2.0	-0.02197802197802201
SETMAR	1.0	-0.02197802197802201
PDE4DIP	2.0	-0.02197802197802201
SNX10	13.0	0.05494505494505497
NUDT3	3.0	-0.02197802197802201
THAP1	24.0	-0.0219780219780219
ITCH	13.0	0.05494505494505497
CA2	3.0	-0.02197802197802201
CAPRIN1	13.0	0.05494505494505497
IRF7	0.0	-0.02197802197802201
CALM1	16.0	0.05494505494505497
