Item ID	Item value	Change in Kuiper test statistic when item removed
MUS81	1.0	-0.01214574898785381
ARHGAP9	1.0	-0.01214574898785381
ANKRD37	15.0	0.014170040485830593
LRRC17	12.0	0.014170040485830593
HSCB	24.0	-0.0121457489878537
CRIP1	18.0	0.014170040485830482
KRCC1	1.0	-0.01214574898785381
SPATA6	12.0	0.014170040485830593
ENDOU	14.0	0.014170040485830593
PSTPIP1	3.0	-0.01214574898785381
DBP	1.0	-0.01214574898785381
SERTAD4	17.0	0.01417004048583037
BCL2L11	24.0	-0.0121457489878537
SERTAD1	23.0	0.014170040485830482
TRIM5	2.0	-0.01214574898785381
PDK1	15.0	0.014170040485830593
EGR1	20.0	0.014170040485830482
BNIP3L	16.0	0.01417004048583037
ST6GAL1	1.0	-0.01214574898785381
FZD2	13.0	0.014170040485830593
NSMCE1	3.0	-0.01214574898785381
CYBRD1	2.0	-0.01214574898785381
ARID5B	24.0	-0.0121457489878537
KIAA2013	14.0	0.014170040485830593
ACSL3	0.0	-0.01214574898785381
DUSP6	21.0	0.014170040485830482
SULF2	14.0	0.014170040485830593
FAM111A	4.0	0.01417004048583037
TMCO6	0.0	-0.01214574898785381
UBE2T	24.0	-0.0121457489878537
ID1	18.0	0.014170040485830482
KLF9	8.0	0.01417004048583037
ZNF438	1.0	-0.01214574898785381
NDUFAF3	3.0	-0.01214574898785381
CEP162	3.0	-0.01214574898785381
NIT1	2.0	-0.01214574898785381
NAIP	1.0	-0.01214574898785381
MXD3	11.0	0.01417004048583037
CCDC90B	0.0	-0.01214574898785381
