Item ID	Item value	Change in Kuiper test statistic when item removed
CD86	8.0	0.011104617182933763
PHF3	15.0	0.011104617182933874
CPQ	11.0	0.011104617182933874
ZMYND8	1.0	-0.0061367621274109885
TRADD	3.0	-0.0061367621274109885
ADM	14.0	0.011104617182933874
CBLB	2.0	-0.0061367621274109885
AP2A2	2.0	-0.0061367621274109885
MED18	21.0	0.011104617182933874
RPGR	13.0	0.011104617182933763
OASL	21.0	0.011104617182933874
RCBTB2	1.0	-0.0061367621274109885
CASP9	2.0	-0.0061367621274109885
ZCWPW1	2.0	-0.0061367621274109885
DBP	1.0	-0.0061367621274109885
CSRP2	23.0	-0.0061367621274109885
PDK4	5.0	0.011104617182933763
PSPH	2.0	-0.0061367621274109885
RBM5	23.0	-0.0061367621274109885
TMEM8B	3.0	-0.0061367621274109885
BNIP3L	16.0	0.011104617182933763
KLF12	4.0	0.011104617182933763
ST6GAL1	1.0	-0.0061367621274109885
SP110	2.0	-0.0061367621274109885
TUBG2	21.0	0.011104617182933874
ACYP1	24.0	-0.0061367621274109885
RNF41	13.0	0.011104617182933763
EML3	0.0	-0.0061367621274109885
BTD	3.0	-0.0061367621274109885
ELF3	16.0	0.011104617182933763
PEX6	2.0	-0.0061367621274109885
DDIT4	15.0	0.011104617182933874
EVL	3.0	-0.0061367621274109885
PLCB1	10.0	0.011104617182933874
SLC25A4	15.0	0.011104617182933874
GCDH	0.0	-0.0061367621274109885
RTEL1	3.0	-0.0061367621274109885
GALT	3.0	-0.0061367621274109885
GOSR2	0.0	-0.0061367621274109885
TSHZ2	8.0	0.011104617182933763
GSTT2	1.0	-0.0061367621274109885
RXRB	23.0	-0.0061367621274109885
APOM	18.0	0.011104617182933874
RCE1	3.0	-0.0061367621274109885
RAB11FIP3	1.0	-0.0061367621274109885
CRYGS	23.0	-0.0061367621274109885
ATF7IP	4.0	0.011104617182933763
ZNF142	0.0	-0.0061367621274109885
CYHR1	2.0	-0.0061367621274109885
PDE4DIP	2.0	-0.0061367621274109885
SEMA4F	2.0	-0.0061367621274109885
DHODH	1.0	-0.0061367621274109885
KLHL9	24.0	-0.0061367621274109885
ALDH4A1	5.0	0.011104617182933763
RAD50	24.0	-0.0061367621274109885
SLC6A8	19.0	0.011104617182933874
MYO15B	1.0	-0.0061367621274109885
CTH	24.0	-0.0061367621274109885
ADA	2.0	-0.0061367621274109885
