Item ID	Item value	Change in Kuiper test statistic when item removed
RTN2	2.0	-0.007198228128460882
UBXN2B	1.0	-0.007198228128460882
CPQ	11.0	0.016611295681062954
NEDD4L	3.0	-0.007198228128460882
F13A1	11.0	0.016611295681062954
HMMR	22.0	-0.007198228128460771
NREP	5.0	0.016611295681062954
DCAF7	23.0	-0.007198228128460771
AURKA	21.0	0.010658914728682023
HHAT	6.0	0.016611295681062954
STK35	11.0	0.016611295681062954
PTTG1	17.0	0.016611295681063065
ZNF706	2.0	-0.007198228128460882
TSPAN8	3.0	-0.007198228128460882
TP53BP1	3.0	-0.007198228128460882
GABRE	1.0	-0.007198228128460882
CD34	11.0	0.016611295681062954
CCT5	22.0	-0.007198228128460771
TRMT1L	1.0	-0.007198228128460882
PSPH	2.0	-0.007198228128460882
RRM2	23.0	-0.007198228128460771
VWF	13.0	0.016611295681062954
NFYA	0.0	-0.007198228128460882
CCDC14	3.0	-0.007198228128460882
ANGEL1	1.0	-0.007198228128460882
AKR1C3	2.0	-0.007198228128460882
SLC39A10	3.0	-0.007198228128460882
TUBG2	21.0	0.010658914728682023
TUBG1	22.0	-0.007198228128460771
CDC25B	22.0	-0.007198228128460771
COL1A2	10.0	0.016611295681062954
TP53I3	24.0	-0.007198228128460771
COL7A1	0.0	-0.007198228128460882
CENPJ	0.0	-0.007198228128460882
MGAT4A	15.0	0.016611295681063065
UBE2T	24.0	-0.007198228128460771
CYSTM1	14.0	0.016611295681063065
SNRPA1	14.0	0.016611295681063065
INTS7	1.0	-0.007198228128460882
INTS8	1.0	-0.007198228128460882
SLC26A6	1.0	-0.007198228128460882
XPR1	2.0	-0.007198228128460882
OSBP2	13.0	0.016611295681062954
