Item ID	Item value	Change in Kuiper test statistic when item removed
DQX1	2.0	-0.005390835579514919
GALNT18	15.0	0.004132973944294627
RASEF	21.0	0.004132973944294738
ENO2	17.0	0.004132973944294738
AQP3	22.0	0.004132973944294627
ARHGAP44	6.0	0.004132973944294627
PODNL1	3.0	0.004132973944294627
MYB	16.0	0.004132973944294627
MACROD1	23.0	-0.005390835579514863
JUNB	21.0	0.004132973944294738
GAMT	23.0	-0.005390835579514863
ZNF561	1.0	-0.005390835579514863
ZNF284	20.0	0.004132973944294627
IGFBP3	9.0	0.004132973944294627
HIC1	1.0	-0.005390835579514863
TPST2	1.0	-0.005390835579514863
DISP2	4.0	0.004132973944294627
MAF	12.0	0.004132973944294627
ABCG1	16.0	0.004132973944294627
ARL8A	14.0	0.004132973944294627
TMEM63A	1.0	-0.005390835579514863
ABCB6	2.0	-0.005390835579514919
COL13A1	18.0	0.004132973944294627
GSTT2	1.0	-0.005390835579514863
ADRB2	4.0	0.004132973944294627
APCDD1	13.0	0.004132973944294627
FBXO44	0.0	-0.005390835579514919
ITPRIPL2	22.0	0.004132973944294627
HSD11B2	15.0	0.004132973944294627
NUAK1	2.0	-0.005390835579514919
ADAP2	4.0	0.004132973944294627
BCL2L11	24.0	-0.005390835579514863
FLRT2	1.0	-0.005390835579514863
ZNF767P	1.0	-0.005390835579514863
CAMTA1	2.0	-0.005390835579514919
FAM43B	13.0	0.004132973944294627
FAM83D	2.0	-0.005390835579514919
EGR1	20.0	0.004132973944294627
CHKA	1.0	-0.005390835579514863
AUTS2	14.0	0.004132973944294627
BDNF	14.0	0.004132973944294627
TRPV2	1.0	-0.005390835579514863
CYBRD1	2.0	-0.005390835579514919
ELL3	2.0	-0.005390835579514919
DNAJC18	24.0	-0.005390835579514863
TSGA10	3.0	0.004132973944294627
TP53I3	24.0	-0.005390835579514863
CABYR	5.0	0.004132973944294627
ZNF30	23.0	-0.005390835579514863
TUBGCP6	0.0	-0.005390835579514919
TMCC2	16.0	0.004132973944294627
XAF1	1.0	-0.005390835579514863
CNTNAP3	14.0	0.004132973944294627
RTP4	1.0	-0.005390835579514863
LMBR1L	23.0	-0.005390835579514863
MOXD1	17.0	0.004132973944294738
CLIC5	2.0	-0.005390835579514919
DOCK4	4.0	0.004132973944294627
ADM	14.0	0.004132973944294627
CASP1	5.0	0.004132973944294627
EXO5	1.0	-0.005390835579514863
ZNF248	0.0	-0.005390835579514919
EMX2	17.0	0.004132973944294738
LYNX1	5.0	0.004132973944294627
ARG2	2.0	-0.005390835579514919
SMAD5-AS1	23.0	-0.005390835579514863
ABCC5	1.0	-0.005390835579514863
C17ORF80	23.0	-0.005390835579514863
ZDHHC11	16.0	0.004132973944294627
CBFA2T3	2.0	-0.005390835579514919
MED23	14.0	0.004132973944294627
C1QTNF12	14.0	0.004132973944294627
IRF1	19.0	0.004132973944294627
C19ORF25	0.0	-0.005390835579514919
DNASE1	23.0	-0.005390835579514863
ASPA	2.0	-0.005390835579514919
GPRC5C	18.0	0.004132973944294627
ZNF234	24.0	-0.005390835579514863
CHST3	17.0	0.004132973944294738
MAGEH1	2.0	-0.005390835579514919
HDAC5	0.0	-0.005390835579514919
COL15A1	9.0	0.004132973944294627
MEGF6	2.0	-0.005390835579514919
LUZP1	16.0	0.004132973944294627
PTAFR	20.0	0.004132973944294627
RBM4B	0.0	-0.005390835579514919
CRIP2	16.0	0.004132973944294627
CRIP1	18.0	0.004132973944294627
HOXD10	17.0	0.004132973944294738
USP18	24.0	-0.005390835579514863
FAM184A	22.0	0.004132973944294627
GNG7	7.0	0.004132973944294627
GABRE	1.0	-0.005390835579514863
C11ORF45	3.0	0.004132973944294627
GPR155	14.0	0.004132973944294627
HES2	14.0	0.004132973944294627
DUOX2	16.0	0.004132973944294627
APOL2	3.0	0.004132973944294627
ANGPT1	9.0	0.004132973944294627
LAMB4	13.0	0.004132973944294627
MCOLN2	16.0	0.004132973944294627
BAIAP3	18.0	0.004132973944294627
ALDH4A1	5.0	0.004132973944294627
KIF26A	14.0	0.004132973944294627
IL2RB	1.0	-0.005390835579514863
ASB2	15.0	0.004132973944294627
