Item ID	Item value	Change in Kuiper test statistic when item removed
CD86	8.0	0.02150537634408578
DPAGT1	1.0	-0.011827956989247546
LMBR1L	23.0	-0.003494623655914242
DOCK4	4.0	0.02150537634408578
CD83	24.0	-0.011827956989247546
FASTKD1	1.0	-0.011827956989247546
TFRC	19.0	0.02150537634408578
C1S	12.0	0.02150537634408578
TNFAIP6	10.0	0.02150537634408578
TRADD	3.0	-0.011827956989247546
QPRT	3.0	-0.011827956989247546
PIGP	2.0	-0.011827956989247546
CRIP1	18.0	0.02150537634408578
GLS	12.0	0.02150537634408578
LAMP3	18.0	0.02150537634408578
SLAMF8	2.0	-0.011827956989247546
SLAMF7	3.0	-0.011827956989247546
PKNOX1	1.0	-0.011827956989247546
FILIP1L	1.0	-0.011827956989247546
LDLR	2.0	-0.011827956989247546
GABBR1	2.0	-0.011827956989247546
FZD5	16.0	0.02150537634408578
METTL1	1.0	-0.011827956989247546
PDE4DIP	2.0	-0.011827956989247546
ACSL3	0.0	-0.011827956989247546
TRAF1	3.0	-0.011827956989247546
ELL3	2.0	-0.011827956989247546
NAT1	23.0	-0.003494623655914242
ABCG1	16.0	0.02150537634408578
CDS2	14.0	0.02150537634408578
BIRC3	1.0	-0.011827956989247546
