Item ID	Item value	Change in Kuiper test statistic when item removed
TNFAIP6	10.0	-0.0076869322152341435
SERPINE2	13.0	-0.0076869322152341435
CPQ	11.0	-0.0076869322152341435
LAMC1	15.0	-0.003756114605171279
GLS	12.0	-0.0076869322152341435
RCBTB2	1.0	0.011180992313067739
RGS2	22.0	0.011180992313067739
PLAU	19.0	0.011180992313067739
CTSK	13.0	-0.0076869322152341435
DPYSL3	15.0	-0.003756114605171279
CASP1	5.0	0.011180992313067739
TIMP3	6.0	0.011180992313067739
PMEPA1	16.0	0.011180992313067739
SMCO4	1.0	0.011180992313067739
PDGFRA	5.0	0.011180992313067739
IGFBP3	9.0	-0.0037561146051712235
RNASE6	3.0	0.011180992313067739
IRAK3	12.0	-0.0076869322152341435
GEM	10.0	-0.0076869322152341435
TGFBR2	14.0	-0.0076869322152341435
DNM3	7.0	0.011180992313067739
CH25H	1.0	0.011180992313067739
MAF	12.0	-0.0076869322152341435
PALLD	13.0	-0.0076869322152341435
COL8A2	15.0	-0.003756114605171279
SPARCL1	10.0	-0.0076869322152341435
ROR1	8.0	0.011180992313067739
ZFPM2	8.0	0.011180992313067739
COL15A1	9.0	-0.0037561146051712235
NNMT	9.0	-0.0037561146051712235
C1S	12.0	-0.0076869322152341435
CFH	10.0	-0.0076869322152341435
C1R	11.0	-0.0076869322152341435
LRRC17	12.0	-0.0076869322152341435
NREP	5.0	0.011180992313067739
NUAK1	2.0	0.011180992313067739
CLEC7A	13.0	-0.0076869322152341435
ALOX5	19.0	0.011180992313067739
SLAMF8	2.0	0.011180992313067739
IGFBP7	10.0	-0.0076869322152341435
CD163	11.0	-0.0076869322152341435
FZD2	13.0	-0.0076869322152341435
LUM	10.0	-0.0076869322152341435
RARRES2	11.0	-0.0076869322152341435
GFPT2	14.0	-0.0076869322152341435
FOXN3	14.0	-0.0076869322152341435
IFFO1	0.0	0.011180992313067739
COL1A2	10.0	-0.0076869322152341435
TP53I3	24.0	0.011180992313067739
RGCC	13.0	-0.0076869322152341435
RCAN2	17.0	0.011180992313067739
LHFPL6	11.0	-0.0076869322152341435
SSPN	6.0	0.011180992313067739
RECK	3.0	0.011180992313067739
