Item ID	Item value	Change in Kuiper test statistic when item removed
TMEM45B	12.0	-0.0061058344640435025
CLIC5	6.0	0.009045680687471636
ST6GALNAC1	10.0	-0.0061058344640435025
WWC1	11.0	-0.0061058344640435025
CEP19	4.0	0.009045680687471691
FAM107A	-7.0	0.009045680687471747
LOXL4	0.0	0.009045680687471636
CWH43	12.0	-0.0061058344640435025
MED16	7.0	-0.0010734640815834307
VSIG10L	10.0	-0.0061058344640435025
FAM107B	-5.0	0.009045680687471691
ZCWPW1	7.0	-0.0010734640815834307
HHEX	-3.0	0.009045680687471691
DBP	6.0	0.009045680687471636
HEY1	9.0	-0.0061058344640435025
LIPH	11.0	-0.0061058344640435025
CDK20	4.0	0.009045680687471691
BDKRB2	-3.0	0.009045680687471691
DZIP1L	-6.0	0.009045680687471747
DUSP1	11.0	-0.0061058344640435025
STRBP	10.0	-0.0061058344640435025
MYEOV	7.0	-0.0010734640815834307
SSUH2	11.0	-0.0061058344640435025
SLC6A14	9.0	-0.0061058344640435025
RFX2	-7.0	0.009045680687471747
FBXO15	7.0	-0.0010734640815834307
RUNDC3B	10.0	-0.0061058344640435025
TENT5B	11.0	-0.0061058344640435025
SDCBP2	-8.0	0.009045680687471747
CBFA2T3	5.0	0.009045680687471636
SYTL2	-3.0	0.009045680687471691
EPN3	10.0	-0.0061058344640435025
CH25H	1.0	0.009045680687471636
MOB3C	3.0	0.009045680687471636
ALDH3A1	-4.0	0.009045680687471691
ANKFN1	7.0	-0.0010734640815834307
KATNAL2	8.0	-0.0061058344640435025
PRR15L	-12.0	-0.0061058344640433915
CLDN8	10.0	-0.0061058344640435025
TRNP1	10.0	-0.0061058344640435025
EZR	-7.0	0.009045680687471747
ZNF395	-4.0	0.009045680687471691
KRT80	11.0	-0.0061058344640435025
ADH1C	9.0	-0.0061058344640435025
SLC20A2	-5.0	0.009045680687471691
CSTF2	2.0	0.009045680687471636
RASAL1	-11.0	-0.0061058344640433915
ABHD5	11.0	-0.0061058344640435025
SPATA6	-6.0	0.009045680687471747
GMDS	11.0	-0.0061058344640435025
CRYM	-3.0	0.009045680687471691
CKM	11.0	-0.0061058344640435025
CFAP70	10.0	-0.0061058344640435025
FBXO36	-6.0	0.009045680687471747
KRT13	-11.0	-0.0061058344640433915
TMEM61	-11.0	-0.0061058344640433915
CYP4B1	10.0	-0.0061058344640435025
ELL3	6.0	0.009045680687471636
KLF2	8.0	-0.0061058344640435025
KLF8	8.0	-0.0061058344640435025
PER2	12.0	-0.0061058344640435025
TSGA10	8.0	-0.0061058344640435025
PER1	11.0	-0.0061058344640435025
TMCO6	4.0	0.009045680687471691
RSPH14	-5.0	0.009045680687471691
S100P	12.0	-0.0061058344640435025
DZIP3	7.0	-0.0010734640815834307
