Item ID	Item value	Change in Kuiper test statistic when item removed
SBSPON	8.0	0.03935197059074935
CAVIN2	-8.0	-0.010648029409250692
IGFBP3	-5.0	-0.010648029409250692
MAMDC2	-3.0	-0.010648029409250692
RFX2	-7.0	-0.010648029409250692
LIFR	12.0	0.03809523809523818
EBF3	-4.0	-0.010648029409250692
KRT5	-5.0	-0.010648029409250692
MEDAG	-3.0	-0.010648029409250692
ICAM1	-3.0	-0.010648029409250692
ARNTL	-2.0	0.0019192955458660066
FLRT2	5.0	0.03935197059074935
C1QTNF12	-7.0	-0.010648029409250692
PDPN	-4.0	-0.010648029409250692
DZIP1L	-6.0	-0.010648029409250692
PKP1	-10.0	0.02759254509703357
CD36	11.0	0.03809523809523818
NPTX2	-8.0	-0.010648029409250692
FJX1	-5.0	-0.010648029409250692
TP63	-7.0	-0.010648029409250692
JAM2	6.0	0.03935197059074935
