Item ID	Item value	Change in Kuiper test statistic when item removed
EDN1	-9.0	-0.01383399209486158
ANGPT1	10.0	-0.01383399209486158
LAMA2	-1.0	0.031620553359683834
BDNF	-9.0	-0.01383399209486158
DUSP1	11.0	-0.01383399209486158
CAVIN2	-8.0	-0.013833992094861636
ZBTB16	-12.0	-0.013833992094861636
HP	-11.0	-0.013833992094861636
KRT13	-11.0	-0.013833992094861636
CYP4B1	10.0	-0.01383399209486158
LIFR	12.0	-0.01383399209486158
TFPI	-5.0	0.031620553359683834
NTN1	-1.0	0.031620553359683834
USP18	8.0	-0.0072239055924949724
KLF2	8.0	-0.0072239055924949724
IFIH1	5.0	0.031620553359683945
KITLG	4.0	0.031620553359683834
ARMCX2	5.0	0.031620553359683945
HEY1	9.0	-0.01383399209486158
CA2	9.0	-0.01383399209486158
RBP1	-8.0	-0.013833992094861636
KLF9	-12.0	-0.013833992094861636
ACKR4	3.0	0.031620553359683834
