Item ID	Item value	Change in Kuiper test statistic when item removed
DPAGT1	7.0	-0.006048387096774188
ST6GALNAC1	10.0	-0.006048387096774188
TMTC1	8.0	-0.006048387096774188
HMGCR	5.0	-0.006048387096774188
CWH43	12.0	-0.006048387096774188
PIGV	6.0	-0.006048387096774188
HK2	-10.0	0.02620967741935487
GMDS	11.0	-0.006048387096774188
OPA1	-6.0	0.02620967741935487
PDK4	8.0	-0.006048387096774188
MUC15	11.0	-0.006048387096774188
ADAMTS9	4.0	-0.006048387096774188
OVGP1	-3.0	0.02620967741935487
GALNT7	8.0	-0.006048387096774188
IL33	4.0	-0.006048387096774188
GUCY1A1	6.0	-0.006048387096774188
RRM2	2.0	0.02620967741935487
CDADC1	5.0	-0.006048387096774188
ANGPT1	10.0	-0.006048387096774188
ABCC5	6.0	-0.006048387096774188
SORD	-12.0	-0.006048387096774244
CBFA2T3	5.0	-0.006048387096774188
TPST2	6.0	-0.006048387096774188
NAGK	7.0	-0.006048387096774188
LYG1	5.0	-0.006048387096774188
NMNAT1	4.0	-0.006048387096774188
DDIT4	11.0	-0.006048387096774188
CHI3L2	-11.0	0.02620967741935487
SDC1	-12.0	-0.006048387096774244
PLCB1	12.0	-0.006048387096774188
ST6GALNAC3	-9.0	0.02620967741935487
PIGF	6.0	-0.006048387096774188
