Item ID	Item value	Change in Kuiper test statistic when item removed
HSP90AA1	8.0	-0.014705882352941124
RRM2	2.0	-0.014705882352941124
DUSP1	11.0	0.047794117647058876
CEP152	5.0	-0.014705882352941124
INTS3	7.0	-0.014705882352941124
FAM107A	-7.0	0.047794117647058876
UBE2E1	-7.0	0.047794117647058876
BRCA1	8.0	-0.014705882352941124
DYNLL1	6.0	-0.014705882352941124
CDC25B	3.0	-0.014705882352941124
CDK5	7.0	-0.014705882352941124
CENPJ	4.0	-0.014705882352941124
ZFYVE19	6.0	-0.014705882352941124
CKS2	2.0	-0.014705882352941124
CCL2	2.0	-0.014705882352941124
NABP1	6.0	-0.014705882352941124
PLCB1	12.0	0.047794117647058876
