Item ID	Item value	Change in Kuiper test statistic when item removed
RBM14	6.0	-0.007352941176470562
INTS13	5.0	-0.007352941176470562
CEP152	5.0	-0.007352941176470562
CEP19	4.0	-0.007352941176470562
CETN3	5.0	-0.007352941176470562
FAM107A	-7.0	0.05514705882352944
TUBD1	3.0	0.03431372549019607
BRCA1	8.0	-0.007352941176470562
CDK5	7.0	-0.007352941176470562
HOOK2	8.0	-0.007352941176470562
KATNAL2	8.0	-0.007352941176470562
CENPJ	4.0	-0.007352941176470562
CHORDC1	4.0	-0.007352941176470562
EZR	-7.0	0.05514705882352944
MET	6.0	-0.007352941176470562
SAC3D1	4.0	-0.007352941176470562
HSPA1A	5.0	-0.007352941176470562
