Item ID	Item value	Change in Kuiper test statistic when item removed
ZNF177	6.0	-0.01041666666666674
SRBD1	7.0	-0.01041666666666674
CETN3	5.0	-0.01041666666666674
UBFD1	5.0	-0.01041666666666674
BRCA1	8.0	-0.01041666666666674
OMA1	6.0	-0.01041666666666674
LYPD5	10.0	0.02083333333333326
TMEM141	8.0	-0.01041666666666674
FAM107B	-5.0	0.02083333333333326
C5	8.0	-0.01041666666666674
OPA1	-6.0	0.02083333333333326
MICALCL	-10.0	0.02083333333333326
PSPH	6.0	-0.01041666666666674
SAC3D1	4.0	0.0
FANCI	-4.0	0.02083333333333326
RRM2	2.0	0.02083333333333326
NFYA	5.0	-0.01041666666666674
ABCC5	6.0	-0.01041666666666674
CYHR1	6.0	-0.01041666666666674
ACYP1	7.0	-0.01041666666666674
PTGR2	7.0	-0.01041666666666674
SYTL2	-3.0	0.02083333333333326
KLHL9	5.0	-0.01041666666666674
HOOK2	8.0	-0.01041666666666674
CDK5	7.0	-0.01041666666666674
CENPJ	4.0	0.0
BIRC5	-5.0	0.02083333333333326
CENPN	-6.0	0.02083333333333326
DZIP3	7.0	-0.01041666666666674
GALK2	6.0	-0.01041666666666674
ANKRD36B	-6.0	0.02083333333333326
CCDC90B	5.0	-0.01041666666666674
FKBP5	-12.0	0.02083333333333326
