Item ID	Item value	Change in Kuiper test statistic when item removed
RBM14	6.0	-0.015789473684210742
RRM2	2.0	0.014912280701754155
LMAN2L	6.0	-0.015789473684210742
FASTKD1	5.0	-0.015789473684210742
CETN3	5.0	-0.015789473684210742
ADM	-8.0	0.03684210526315762
HMGCR	5.0	-0.015789473684210742
ACYP1	7.0	0.025877192982455888
HSPA14	-6.0	0.03684210526315762
DYNLL1	6.0	-0.015789473684210742
DNAJA1	5.0	-0.015789473684210742
OPA1	-6.0	0.03684210526315762
CKS2	2.0	0.014912280701754155
CENPN	-6.0	0.03684210526315762
FAM98A	4.0	-0.015789473684210742
SGK1	9.0	0.03684210526315762
PLCB1	12.0	0.03684210526315762
SRSF7	5.0	-0.015789473684210742
PIGF	6.0	-0.015789473684210742
SAC3D1	4.0	-0.015789473684210742
