Item ID	Item value	Change in Kuiper test statistic when item removed
CCDC167	8.0	-0.008597883597883493
CSTF2	2.0	-0.013227513227513144
RBM4B	5.0	-0.013227513227513144
ABHD5	11.0	0.023809523809523836
HSPA14	-6.0	0.02380952380952389
ADAMTS4	0.0	0.02380952380952389
EPM2AIP1	4.0	-0.013227513227513144
WDCP	3.0	-0.013227513227513144
DEPTOR	8.0	-0.008597883597883493
HSPH1	5.0	-0.013227513227513144
C6ORF226	-5.0	0.02380952380952389
HEY1	9.0	0.023809523809523836
GMDS	11.0	0.023809523809523836
STAMBPL1	2.0	-0.013227513227513144
TRMT1L	4.0	-0.013227513227513144
TTC32	-7.0	0.02380952380952389
BTN3A2	6.0	-0.013227513227513144
DYNLL1	6.0	-0.013227513227513144
TEF	7.0	-0.013227513227513255
YEATS2	5.0	-0.013227513227513144
CDK5	7.0	-0.013227513227513255
CRY1	-6.0	0.02380952380952389
CKS2	2.0	-0.013227513227513144
CENPN	-6.0	0.02380952380952389
SFXN2	6.0	-0.013227513227513144
PPID	5.0	-0.013227513227513144
FKBP5	-12.0	0.02380952380952389
HSPA1A	5.0	-0.013227513227513144
