Item ID	Item value	Change in Kuiper test statistic when item removed
TMEM45B	12.0	-0.006535947712418277
ZNF692	7.0	-0.006535947712418277
GUCY1A1	6.0	-0.006535947712418277
RFX2	-7.0	0.05228758169934644
RASAL1	-11.0	0.03513071895424835
CWH43	12.0	-0.006535947712418277
CTSV	-12.0	-0.006535947712418277
TENT5B	11.0	-0.006535947712418277
VSIG10L	10.0	-0.006535947712418277
CEBPA-DT	5.0	-0.006535947712418277
EPN3	10.0	-0.006535947712418277
DBP	6.0	-0.006535947712418277
HEY1	9.0	-0.006535947712418277
THAP8	5.0	-0.006535947712418277
PRR15L	-12.0	-0.006535947712418277
ZNF862	4.0	-0.006535947712418277
HES5	4.0	-0.006535947712418277
S100A7	-4.0	0.05228758169934644
