Item ID	Item value	Change in Kuiper test statistic when item removed
DPAGT1	7.0	-0.01041666666666663
OCA2	-5.0	0.02083333333333337
ABCB6	6.0	-0.01041666666666663
MST1R	2.0	-0.01041666666666663
JRKL	4.0	-0.01041666666666663
HSPA14	-6.0	0.02083333333333337
STYXL1	7.0	-0.01041666666666663
BBC3	1.0	-0.01041666666666663
ICAM1	-3.0	0.02083333333333337
TMEM187	5.0	-0.01041666666666663
HSPD1	7.0	-0.01041666666666663
SLC9A3R2	9.0	0.02083333333333337
DBP	6.0	-0.01041666666666663
GMDS	11.0	0.02083333333333337
NFIL3	-6.0	0.02083333333333337
SERTAD1	3.0	-0.01041666666666663
ABT1	-5.0	0.02083333333333337
POU2F1	-6.0	0.02083333333333337
NR1D1	4.0	-0.01041666666666663
CDC25B	3.0	-0.01041666666666663
CH25H	1.0	-0.01041666666666663
PER1	11.0	0.02083333333333337
HOOK2	8.0	0.02083333333333337
PEX6	6.0	-0.01041666666666663
BCL3	1.0	-0.01041666666666663
CKS2	2.0	-0.01041666666666663
PKP1	-10.0	0.02083333333333337
NIT1	5.0	-0.01041666666666663
PIGF	6.0	-0.01041666666666663
MET	6.0	-0.01041666666666663
SRSF7	5.0	-0.01041666666666663
PPID	5.0	-0.01041666666666663
BIRC3	4.0	-0.01041666666666663
