Item ID	Item value	Change in Kuiper test statistic when item removed
DPAGT1	7.0	-0.010822510822511233
EIF4A2	7.0	-0.010822510822511233
POU2F1	-6.0	0.036796536796536605
CEP152	5.0	-0.010822510822511011
CETN3	5.0	-0.010822510822511011
CSTF2	2.0	0.01298701298701277
LOXL4	0.0	0.03084415584415562
NR1D2	6.0	-0.010822510822511233
MED16	7.0	-0.010822510822511233
RAD23B	-7.0	0.036796536796536605
NKD2	-3.0	0.036796536796536605
KITLG	4.0	-0.010822510822511011
DEPTOR	8.0	0.030844155844155507
STAMBPL1	2.0	0.01298701298701277
C1QTNF12	-7.0	0.036796536796536605
BCL3	1.0	0.024891774891774743
INTS7	6.0	-0.010822510822511233
RCCD1	6.0	-0.010822510822511233
SRSF7	5.0	-0.010822510822511011
FJX1	-5.0	0.036796536796536605
EEF1AKMT1	6.0	-0.010822510822511233
TRMT1L	4.0	-0.010822510822511011
