Item ID	Item value	Change in Kuiper test statistic when item removed
CCDC167	8.0	0.020168067226890796
DET1	5.0	-0.009243697478991564
SAMD9L	6.0	-0.009243697478991564
RNASEL	4.0	-0.009243697478991564
CEP19	4.0	-0.009243697478991564
CSTF2	2.0	0.0030112044817927064
CWH43	12.0	0.020168067226890796
PIGV	6.0	-0.009243697478991564
HK2	-10.0	0.020168067226890796
OASL	3.0	-0.009243697478991564
TMEM187	5.0	-0.009243697478991564
ATP6AP1L	5.0	-0.009243697478991564
TBRG1	-5.0	0.020168067226890796
IFIH1	5.0	-0.009243697478991564
SALL4	-4.0	0.02016806722689074
ZMIZ2	6.0	-0.009243697478991564
FBXO4	-4.0	0.02016806722689074
GRB10	-6.0	0.020168067226890796
EGR1	4.0	-0.009243697478991564
DUSP1	11.0	0.020168067226890796
MACC1	11.0	0.020168067226890796
LAMB4	-6.0	0.020168067226890796
TMEM42	5.0	-0.009243697478991564
ACYP1	7.0	0.0030112044817927064
GCNA	4.0	-0.009243697478991564
KITLG	4.0	-0.009243697478991564
BBS10	3.0	-0.009243697478991564
YEATS2	5.0	-0.009243697478991564
ZNF30	2.0	0.0030112044817927064
RCCD1	6.0	-0.009243697478991564
XAF1	6.0	-0.009243697478991564
SGK1	9.0	0.020168067226890796
PIGF	6.0	-0.009243697478991564
DZIP3	7.0	0.0030112044817927064
BIRC3	4.0	-0.009243697478991564
