Item ID	Item value	Change in Kuiper test statistic when item removed
DPAGT1	7.0	-0.010582010582010415
CETN3	5.0	-0.010582010582010526
PIK3CD	-1.0	0.02645502645502662
UBFD1	5.0	-0.010582010582010526
BRCA1	8.0	-0.005952380952380654
ECE2	5.0	-0.010582010582010526
HMGCR	5.0	-0.010582010582010526
TNF	1.0	0.00330687830687848
HOXD10	-3.0	0.02645502645502662
HK2	-10.0	0.02645502645502662
HSPD1	7.0	-0.010582010582010415
HSPH1	5.0	-0.010582010582010526
TBC1D31	4.0	-0.010582010582010415
ZNF202	4.0	-0.010582010582010415
SAC3D1	4.0	-0.010582010582010415
FANCI	-4.0	0.02645502645502662
SLC15A1	-11.0	0.02645502645502662
HSP90AA1	8.0	-0.005952380952380654
RRM2	2.0	0.00330687830687848
ZNF184	1.0	0.00330687830687848
UBE2E1	-7.0	0.02645502645502662
ACYP1	7.0	-0.010582010582010415
CBFA2T3	5.0	-0.010582010582010526
KRT9	-9.0	0.02645502645502662
RNF126	-7.0	0.02645502645502662
CKS2	2.0	0.00330687830687848
CEP162	4.0	-0.010582010582010415
PIGF	6.0	-0.010582010582010526
