Set ID	Set N	Kuiper p-value (vs. background)	Kuiper q-value (vs. background)	Kuiper p-value (vs. uniform)	Kuiper q-value (vs. uniform)	Vector-average magnitude	Vector-average value
KEGG_LIMONENE_AND_PINENE_DEGRADATION	0	NA	NA	NA	NA	NA	NA
KEGG_PROTEIN_EXPORT	0	NA	NA	NA	NA	NA	NA
KEGG_RIBOSOME	0	NA	NA	NA	NA	NA	NA
KEGG_CITRATE_CYCLE_TCA_CYCLE	0	NA	NA	NA	NA	NA	NA
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	0	NA	NA	NA	NA	NA	NA
KEGG_BASAL_TRANSCRIPTION_FACTORS	0	NA	NA	NA	NA	NA	NA
KEGG_DNA_REPLICATION	0	NA	NA	NA	NA	NA	NA
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	0	NA	NA	NA	NA	NA	NA
KEGG_PENTOSE_PHOSPHATE_PATHWAY	0	NA	NA	NA	NA	NA	NA
KEGG_SPHINGOLIPID_METABOLISM	0	NA	NA	NA	NA	NA	NA
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	0	NA	NA	NA	NA	NA	NA
KEGG_MISMATCH_REPAIR	0	NA	NA	NA	NA	NA	NA
KEGG_OTHER_GLYCAN_DEGRADATION	0	NA	NA	NA	NA	NA	NA
KEGG_RNA_POLYMERASE	0	NA	NA	NA	NA	NA	NA
KEGG_PROPANOATE_METABOLISM	0	NA	NA	NA	NA	NA	NA
KEGG_BASAL_CELL_CARCINOMA	0	NA	NA	NA	NA	NA	NA
KEGG_PROTEASOME	0	NA	NA	NA	NA	NA	NA
KEGG_SULFUR_METABOLISM	0	NA	NA	NA	NA	NA	NA
KEGG_RIBOFLAVIN_METABOLISM	0	NA	NA	NA	NA	NA	NA
KEGG_BETA_ALANINE_METABOLISM	0	NA	NA	NA	NA	NA	NA
KEGG_ONE_CARBON_POOL_BY_FOLATE	0	NA	NA	NA	NA	NA	NA
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	0	NA	NA	NA	NA	NA	NA
KEGG_FOLATE_BIOSYNTHESIS	1	NA	NA	NA	NA	NA	NA
KEGG_BASE_EXCISION_REPAIR	1	NA	NA	NA	NA	NA	NA
KEGG_HEDGEHOG_SIGNALING_PATHWAY	1	NA	NA	NA	NA	NA	NA
KEGG_NON_HOMOLOGOUS_END_JOINING	1	NA	NA	NA	NA	NA	NA
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	1	NA	NA	NA	NA	NA	NA
KEGG_RENIN_ANGIOTENSIN_SYSTEM	1	NA	NA	NA	NA	NA	NA
KEGG_AUTOIMMUNE_THYROID_DISEASE	1	NA	NA	NA	NA	NA	NA
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	1	NA	NA	NA	NA	NA	NA
KEGG_GLYCEROLIPID_METABOLISM	1	NA	NA	NA	NA	NA	NA
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	1	NA	NA	NA	NA	NA	NA
KEGG_BUTANOATE_METABOLISM	1	NA	NA	NA	NA	NA	NA
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	1	NA	NA	NA	NA	NA	NA
KEGG_REGULATION_OF_AUTOPHAGY	1	NA	NA	NA	NA	NA	NA
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	1	NA	NA	NA	NA	NA	NA
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	1	NA	NA	NA	NA	NA	NA
KEGG_OLFACTORY_TRANSDUCTION	1	NA	NA	NA	NA	NA	NA
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	1	NA	NA	NA	NA	NA	NA
KEGG_LYSINE_DEGRADATION	1	NA	NA	NA	NA	NA	NA
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	1	NA	NA	NA	NA	NA	NA
KEGG_PHENYLALANINE_METABOLISM	1	NA	NA	NA	NA	NA	NA
KEGG_GLIOMA	1	NA	NA	NA	NA	NA	NA
KEGG_PYRUVATE_METABOLISM	1	NA	NA	NA	NA	NA	NA
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	1	NA	NA	NA	NA	NA	NA
KEGG_INOSITOL_PHOSPHATE_METABOLISM	1	NA	NA	NA	NA	NA	NA
KEGG_NUCLEOTIDE_EXCISION_REPAIR	1	NA	NA	NA	NA	NA	NA
KEGG_DORSO_VENTRAL_AXIS_FORMATION	1	NA	NA	NA	NA	NA	NA
KEGG_OXIDATIVE_PHOSPHORYLATION	1	NA	NA	NA	NA	NA	NA
KEGG_THYROID_CANCER	1	NA	NA	NA	NA	NA	NA
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	2	NA	NA	NA	NA	NA	NA
KEGG_ENDOMETRIAL_CANCER	2	NA	NA	NA	NA	NA	NA
KEGG_ERBB_SIGNALING_PATHWAY	2	NA	NA	NA	NA	NA	NA
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	2	NA	NA	NA	NA	NA	NA
KEGG_ALLOGRAFT_REJECTION	2	NA	NA	NA	NA	NA	NA
KEGG_ETHER_LIPID_METABOLISM	2	NA	NA	NA	NA	NA	NA
KEGG_ASTHMA	2	NA	NA	NA	NA	NA	NA
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	2	NA	NA	NA	NA	NA	NA
KEGG_ADHERENS_JUNCTION	2	NA	NA	NA	NA	NA	NA
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	2	NA	NA	NA	NA	NA	NA
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	2	NA	NA	NA	NA	NA	NA
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	2	NA	NA	NA	NA	NA	NA
KEGG_BLADDER_CANCER	2	NA	NA	NA	NA	NA	NA
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	2	NA	NA	NA	NA	NA	NA
KEGG_LONG_TERM_POTENTIATION	2	NA	NA	NA	NA	NA	NA
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	2	NA	NA	NA	NA	NA	NA
KEGG_STARCH_AND_SUCROSE_METABOLISM	2	NA	NA	NA	NA	NA	NA
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	2	NA	NA	NA	NA	NA	NA
KEGG_MELANOMA	2	NA	NA	NA	NA	NA	NA
KEGG_GRAFT_VERSUS_HOST_DISEASE	2	NA	NA	NA	NA	NA	NA
KEGG_TRYPTOPHAN_METABOLISM	2	NA	NA	NA	NA	NA	NA
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	2	NA	NA	NA	NA	NA	NA
KEGG_TASTE_TRANSDUCTION	2	NA	NA	NA	NA	NA	NA
KEGG_NITROGEN_METABOLISM	2	NA	NA	NA	NA	NA	NA
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	2	NA	NA	NA	NA	NA	NA
KEGG_LEISHMANIA_INFECTION	2	NA	NA	NA	NA	NA	NA
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	2	NA	NA	NA	NA	NA	NA
KEGG_ACUTE_MYELOID_LEUKEMIA	2	NA	NA	NA	NA	NA	NA
KEGG_GLUTATHIONE_METABOLISM	2	NA	NA	NA	NA	NA	NA
KEGG_HISTIDINE_METABOLISM	2	NA	NA	NA	NA	NA	NA
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	2	NA	NA	NA	NA	NA	NA
KEGG_SELENOAMINO_ACID_METABOLISM	2	NA	NA	NA	NA	NA	NA
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	2	NA	NA	NA	NA	NA	NA
KEGG_CHRONIC_MYELOID_LEUKEMIA	2	NA	NA	NA	NA	NA	NA
KEGG_PRIMARY_IMMUNODEFICIENCY	2	NA	NA	NA	NA	NA	NA
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	3	NA	NA	NA	NA	NA	NA
KEGG_RETINOL_METABOLISM	3	NA	NA	NA	NA	NA	NA
KEGG_STEROID_HORMONE_BIOSYNTHESIS	3	NA	NA	NA	NA	NA	NA
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	3	NA	NA	NA	NA	NA	NA
KEGG_PARKINSONS_DISEASE	3	NA	NA	NA	NA	NA	NA
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	3	NA	NA	NA	NA	NA	NA
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	3	NA	NA	NA	NA	NA	NA
KEGG_TYROSINE_METABOLISM	3	NA	NA	NA	NA	NA	NA
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	3	NA	NA	NA	NA	NA	NA
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	3	NA	NA	NA	NA	NA	NA
KEGG_TGF_BETA_SIGNALING_PATHWAY	3	NA	NA	NA	NA	NA	NA
KEGG_VIBRIO_CHOLERAE_INFECTION	3	NA	NA	NA	NA	NA	NA
KEGG_NON_SMALL_CELL_LUNG_CANCER	3	NA	NA	NA	NA	NA	NA
KEGG_FATTY_ACID_METABOLISM	3	NA	NA	NA	NA	NA	NA
KEGG_TYPE_I_DIABETES_MELLITUS	3	NA	NA	NA	NA	NA	NA
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	3	NA	NA	NA	NA	NA	NA
KEGG_GALACTOSE_METABOLISM	3	NA	NA	NA	NA	NA	NA
KEGG_NOTCH_SIGNALING_PATHWAY	3	NA	NA	NA	NA	NA	NA
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	3	NA	NA	NA	NA	NA	NA
KEGG_STEROID_BIOSYNTHESIS	3	NA	NA	NA	NA	NA	NA
KEGG_CARDIAC_MUSCLE_CONTRACTION	3	NA	NA	NA	NA	NA	NA
KEGG_HOMOLOGOUS_RECOMBINATION	4	NA	NA	NA	NA	NA	NA
KEGG_COLORECTAL_CANCER	4	NA	NA	NA	NA	NA	NA
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	4	NA	NA	NA	NA	NA	NA
KEGG_SPLICEOSOME	4	NA	NA	NA	NA	NA	NA
KEGG_MTOR_SIGNALING_PATHWAY	4	NA	NA	NA	NA	NA	NA
KEGG_LONG_TERM_DEPRESSION	4	NA	NA	NA	NA	NA	NA
KEGG_LINOLEIC_ACID_METABOLISM	4	NA	NA	NA	NA	NA	NA
KEGG_RNA_DEGRADATION	4	NA	NA	NA	NA	NA	NA
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	4	NA	NA	NA	NA	NA	NA
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	4	NA	NA	NA	NA	NA	NA
KEGG_CELL_CYCLE	4	NA	NA	NA	NA	NA	NA
KEGG_ABC_TRANSPORTERS	4	NA	NA	NA	NA	NA	NA
KEGG_PANCREATIC_CANCER	4	NA	NA	NA	NA	NA	NA
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	4	NA	NA	NA	NA	NA	NA
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	4	NA	NA	NA	NA	NA	NA
KEGG_TIGHT_JUNCTION	4	NA	NA	NA	NA	NA	NA
KEGG_PROSTATE_CANCER	4	NA	NA	NA	NA	NA	NA
KEGG_VEGF_SIGNALING_PATHWAY	4	NA	NA	NA	NA	NA	NA
KEGG_GAP_JUNCTION	4	NA	NA	NA	NA	NA	NA
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	4	NA	NA	NA	NA	NA	NA
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	4	NA	NA	NA	NA	NA	NA
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	4	NA	NA	NA	NA	NA	NA
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	4	NA	NA	NA	NA	NA	NA
KEGG_N_GLYCAN_BIOSYNTHESIS	5	0.5	0.705704	0.4	0.6925882352941177	0.4935103911966747	13.86131973541361
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	5	0.9	0.9310848484848484	1.0	1.0	0.19999999999999998	13.0
KEGG_MELANOGENESIS	5	0.2	0.45333333333333337	0.9	0.9666666666666667	0.2876211638542522	0.35636348124996986
KEGG_GNRH_SIGNALING_PATHWAY	5	0.7	0.8628714285714286	0.8	0.8923076923076924	0.12826442966457746	17.956484858236497
KEGG_O_GLYCAN_BIOSYNTHESIS	5	0.3	0.5368421052631579	0.6	0.7565217391304347	0.4601640207051511	16.806780944644323
KEGG_WNT_SIGNALING_PATHWAY	5	0.9	0.9310848484848484	1.0	1.0	0.03181729423558046	8.824520343908167
KEGG_PEROXISOME	5	0.2	0.45333333333333337	0.1	0.36250000000000004	0.8387778228367873	14.618900104343535
KEGG_OOCYTE_MEIOSIS	5	0.1	0.3885714285714286	0.4	0.6925882352941177	0.5464101615137755	6.999999999999999
KEGG_ARGININE_AND_PROLINE_METABOLISM	5	0.3	0.5368421052631579	0.7	0.8458333333333333	0.282842712474619	14.0
KEGG_PPAR_SIGNALING_PATHWAY	5	0.2	0.45333333333333337	0.4	0.6925882352941177	0.6377124329350174	15.377141988315522
KEGG_PRION_DISEASES	5	0.9	0.9310848484848484	0.8	0.8923076923076924	0.16173246860773116	12.75557020388938
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	5	0.3	0.5368421052631579	0.6	0.7565217391304347	0.44993777955478365	18.0
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	5	0.7	0.8628714285714286	0.9	0.9666666666666667	0.17405278657702833	14.377141988315516
KEGG_LYSOSOME	5	0.2	0.45333333333333337	0.5	0.725	0.3123793890566363	5.65401653888731
KEGG_TYPE_II_DIABETES_MELLITUS	5	0.2	0.45333333333333337	0.8	0.8923076923076924	0.10352761804100832	17.0
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	5	0.3	0.5368421052631579	0.4	0.6925882352941177	0.577529273829519	11.045073655234958
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	5	0.2	0.45333333333333337	0.8	0.8923076923076924	0.06976670337321399	5.193219055355684
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	5	0.2	0.45333333333333337	0.8	0.8923076923076924	0.3173413361164941	21.5
KEGG_PURINE_METABOLISM	6	0.4	0.591304347826087	0.0344	0.2494	0.6178371432907238	12.266904447013976
KEGG_ALZHEIMERS_DISEASE	6	0.4	0.591304347826087	0.7925	0.8923076923076924	0.24158162379719628	11.15556871289905
KEGG_CIRCADIAN_RHYTHM_MAMMAL	6	0.4	0.591304347826087	0.7925	0.8923076923076924	0.245205393757468	19.67547965609182
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	6	3.0E-4	0.0033999999999999994	0.0074	0.07153333333333334	0.8574740859864654	18.7080917428205
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	6	0.334	0.5678	0.1256	0.4047111111111111	0.4862152552439667	16.17547965609182
KEGG_PYRIMIDINE_METABOLISM	6	0.5189	0.705704	0.0668	0.32286666666666664	0.6364210311571914	12.60258406904071
KEGG_INSULIN_SIGNALING_PATHWAY	6	0.1165	0.3885714285714286	0.4777	0.725	0.4455416294910041	21.951311216040175
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	6	0.7106	0.8628714285714286	0.2109	0.509675	0.5513383649654697	13.094996520463702
KEGG_JAK_STAT_SIGNALING_PATHWAY	6	0.2725	0.5368421052631579	0.4777	0.725	0.16128785945170518	12.233095552986025
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	6	0.3554	0.5754095238095238	0.2109	0.509675	0.5066951934710321	17.10336829825758
KEGG_CELL_ADHESION_MOLECULES_CAMS	7	0.8	0.9066666666666667	0.5	0.725	0.23475662818928997	13.120221107895182
KEGG_RENAL_CELL_CARCINOMA	7	0.2	0.45333333333333337	0.2	0.509675	0.3919946505808468	9.221345690969532
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	7	0.0072	0.0612	0.0478	0.27724	0.5886181588260115	4.759905658572942
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	7	0.1598	0.3885714285714286	0.4964	0.725	0.3474347910282474	8.04798258450247
KEGG_ECM_RECEPTOR_INTERACTION	7	0.1536	0.3885714285714286	0.5963	0.7565217391304347	0.3324066099435221	3.60336829825758
KEGG_ARACHIDONIC_ACID_METABOLISM	7	0.3867	0.591304347826087	0.2088	0.509675	0.38227592943920674	15.773020417535482
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	7	0.0497	0.28163333333333335	0.2585	0.5586642857142857	0.5474349605987598	19.973317647725864
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	7	0.1067	0.3885714285714286	0.5713	0.7565217391304347	0.29292490652480047	0.48342966101512774
KEGG_VIRAL_MYOCARDITIS	7	0.1395	0.3885714285714286	0.406	0.6925882352941177	0.14163650761988442	5.868698711447498
KEGG_HUNTINGTONS_DISEASE	8	0.4	0.591304347826087	0.6	0.7565217391304347	0.26568420193804104	9.90705798978455
KEGG_DILATED_CARDIOMYOPATHY	8	0.22	0.4675	0.6	0.7565217391304347	0.2957247062733524	6.447378355592659
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	8	0.5	0.705704	0.0805	0.3335	0.6541652678241578	11.555809269453091
