Item ID	Item value	Change in Kuiper test statistic when item removed
TMEM45B	19.0	-0.007847082494969793
CLIC5	14.0	0.006438631790744331
ST6GALNAC1	18.0	-0.007847082494970015
WWC1	18.0	-0.007847082494970015
CEP19	11.0	0.006438631790744331
FAM107A	1.0	0.006438631790744331
LOXL4	8.0	0.006438631790744331
CWH43	19.0	-0.007847082494969793
MED16	14.0	0.006438631790744331
VSIG10L	17.0	-0.007847082494969793
FAM107B	2.0	0.006438631790744331
RAB43	2.0	0.006438631790744331
ZCWPW1	15.0	0.006438631790744331
HHEX	5.0	0.006438631790744331
DBP	14.0	0.006438631790744331
HEY1	16.0	-0.007847082494970015
LIPH	18.0	-0.007847082494970015
EFHD2	3.0	0.006438631790744331
CDK20	12.0	0.006438631790744331
BDKRB2	4.0	0.006438631790744331
DZIP1L	2.0	0.006438631790744331
TMEM8B	15.0	0.006438631790744331
DUSP1	19.0	-0.007847082494969793
STRBP	18.0	-0.007847082494970015
MYEOV	14.0	0.006438631790744331
SSUH2	19.0	-0.007847082494969793
SLC6A14	16.0	-0.007847082494970015
RFX2	1.0	0.006438631790744331
FBXO15	15.0	0.006438631790744331
TENT5B	18.0	-0.007847082494970015
SDCBP2	0.0	0.006438631790744331
EPN3	17.0	-0.007847082494969793
CH25H	9.0	0.006438631790744331
MOB3C	11.0	0.006438631790744331
ALDH3A1	3.0	0.006438631790744331
ANKFN1	14.0	0.006438631790744331
KATNAL2	16.0	-0.007847082494970015
PRR15L	19.0	-0.007847082494969793
CLDN8	18.0	-0.007847082494970015
KCNQ1	1.0	0.006438631790744331
TRNP1	18.0	-0.007847082494970015
EZR	0.0	0.006438631790744331
HDAC5	12.0	0.006438631790744331
ZNF395	4.0	0.006438631790744331
KRT80	18.0	-0.007847082494970015
SLC20A2	2.0	0.006438631790744331
FAM27C	12.0	0.006438631790744331
CSTF2	10.0	0.006438631790744331
SPATA6	2.0	0.006438631790744331
SCEL	19.0	-0.007847082494969793
GMDS	19.0	-0.007847082494969793
GNG7	19.0	-0.007847082494969793
MYH11	18.0	-0.007847082494970015
RGS22	1.0	0.006438631790744331
CRYM	4.0	0.006438631790744331
CKM	20.0	-0.007847082494969793
CFAP70	17.0	-0.007847082494969793
FBXO36	2.0	0.006438631790744331
KRT13	20.0	-0.007847082494969793
TMEM61	21.0	0.004652917505030163
CYP4B1	18.0	-0.007847082494970015
LRWD1	12.0	0.006438631790744331
ELL3	14.0	0.006438631790744331
KLF2	16.0	-0.007847082494970015
KLF8	16.0	-0.007847082494970015
PER2	20.0	-0.007847082494969793
TSGA10	16.0	-0.007847082494970015
PER1	19.0	-0.007847082494969793
TMCO6	12.0	0.006438631790744331
RSPH14	3.0	0.006438631790744331
DZIP3	15.0	0.006438631790744331
