Item ID	Item value	Change in Kuiper test statistic when item removed
CX3CR1	22.0	-0.013071895424836555
CSF1R	20.0	-0.013071895424836555
TGFB1	19.0	-0.013071895424836555
IL4R	19.0	-0.013071895424836555
TNFSF14	22.0	-0.013071895424836555
TNFRSF12A	17.0	0.019327404049769292
IL10RB	21.0	-0.013071895424836555
CXCR4	7.0	0.045751633986928164
LIFR	8.0	0.045751633986928164
VEGFD	19.0	-0.013071895424836555
TNF	20.0	-0.013071895424836555
KITLG	24.0	0.034059041012783675
CCL2	22.0	-0.013071895424836555
PLEKHO2	22.0	-0.013071895424836555
CCR5	23.0	0.034059041012783675
MET	1.0	0.045751633986928164
RELT	14.0	0.045751633986928164
CCL26	21.0	-0.013071895424836555
