Item ID	Item value	Change in Kuiper test statistic when item removed
CCDC167	3.0	-0.0064102564102563875
GALNT18	13.0	0.013197586726998556
ADAMTS4	20.0	0.013197586726998445
EPM2AIP1	23.0	-0.0064102564102563875
DEPTOR	4.0	-0.0039592760180995334
C6ORF226	15.0	0.013197586726998556
HEY1	4.0	-0.0039592760180995334
BIVM	21.0	-0.0064102564102563875
ZHX3	12.0	0.013197586726998445
DESI1	4.0	-0.0039592760180995334
TTC32	12.0	0.013197586726998445
ELOVL6	9.0	0.013197586726998556
BTN3A2	2.0	-0.0064102564102563875
DYNLL1	1.0	-0.0064102564102563875
CRY1	14.0	0.013197586726998556
TIMELESS	3.0	-0.0064102564102563875
CKS2	22.0	-0.0064102564102563875
GEMIN6	23.0	-0.0064102564102563875
PPID	0.0	-0.0064102564102563875
FKBP5	8.0	0.013197586726998556
SATB2	2.0	-0.0064102564102563875
CSTF2	22.0	-0.0064102564102563875
NDUFA4L2	20.0	0.013197586726998445
NEDD4L	6.0	0.013197586726998556
RBM4B	1.0	-0.0064102564102563875
HSPA14	14.0	0.013197586726998556
APOLD1	8.0	0.013197586726998556
AURKA	21.0	-0.0064102564102563875
SEC14L2	11.0	0.013197586726998556
WDCP	23.0	-0.0064102564102563875
DRAM1	21.0	-0.0064102564102563875
HSPH1	1.0	-0.0064102564102563875
GMDS	7.0	0.013197586726998556
STAMBPL1	21.0	-0.0064102564102563875
DPH5	1.0	-0.0064102564102563875
CYYR1	10.0	0.013197586726998556
TRMT1L	23.0	-0.0064102564102563875
NR2C2AP	23.0	-0.0064102564102563875
GINS2	6.0	0.013197586726998556
IL10RB	21.0	-0.0064102564102563875
ADAT1	23.0	-0.0064102564102563875
NAGA	1.0	-0.0064102564102563875
BFAR	23.0	-0.0064102564102563875
TEF	3.0	-0.0064102564102563875
YEATS2	1.0	-0.0064102564102563875
MFAP1	23.0	-0.0064102564102563875
CDK5	3.0	-0.0064102564102563875
UBE2T	23.0	-0.0064102564102563875
CENPN	14.0	0.013197586726998556
SFXN2	1.0	-0.0064102564102563875
SLC26A6	1.0	-0.0064102564102563875
HSPA1A	1.0	-0.0064102564102563875
