Item ID	Item value	Change in Kuiper test statistic when item removed
CD86	4.0	0.0038075458636206427
JPT2	2.0	-0.004759432329525803
FAM107A	13.0	0.004586362062997562
TNC	13.0	0.004586362062997562
CIB1	19.0	0.004586362062997562
DCAF7	1.0	-0.004759432329525803
ICAM1	16.0	0.004586362062997562
TP53AIP1	20.0	0.004586362062997562
DPYSL3	13.0	0.004586362062997562
GRB10	13.0	0.004586362062997562
NEK1	4.0	0.0038075458636206427
DPF3	2.0	-0.004759432329525803
GTSE1	15.0	0.004586362062997562
ZNF202	24.0	-0.004759432329525803
DAPK2	13.0	0.004586362062997562
LIFR	8.0	0.004586362062997562
ARMC8	12.0	0.004586362062997562
VRK3	2.0	-0.004759432329525803
SAP30	16.0	0.004586362062997562
CDC25B	23.0	-0.004759432329525803
CYP39A1	3.0	0.0038075458636206427
CH25H	21.0	0.004586362062997562
ERF	17.0	0.004586362062997562
MT1F	16.0	0.004586362062997562
TIMELESS	3.0	0.0038075458636206427
NEIL1	1.0	-0.004759432329525803
NAIP	1.0	-0.004759432329525803
ABCB6	2.0	-0.004759432329525803
NOTCH4	5.0	0.004586362062997562
GSTT2	1.0	-0.004759432329525803
UBFD1	1.0	-0.004759432329525803
PLA2G5	2.0	-0.004759432329525803
FOXO1	11.0	0.004586362062997562
SEC14L2	11.0	0.004586362062997562
C5	4.0	0.0038075458636206427
CLEC7A	14.0	0.004586362062997562
SNHG20	1.0	-0.004759432329525803
DPH5	1.0	-0.004759432329525803
TRMT1L	23.0	-0.004759432329525803
BANP	23.0	-0.004759432329525803
CD163	17.0	0.004586362062997562
TGFB1	19.0	0.004586362062997562
ZBTB16	8.0	0.004586362062997562
GFPT2	18.0	0.004586362062997562
BFAR	23.0	-0.004759432329525803
NR1D1	0.0	-0.004759432329525803
FOXN3	15.0	0.004586362062997562
PILRA	2.0	-0.004759432329525803
SLC6A8	17.0	0.004586362062997562
BCL6	8.0	0.004586362062997562
UST	2.0	-0.004759432329525803
CCDC22	2.0	-0.004759432329525803
MYOM1	5.0	0.004586362062997562
SLC2A1	14.0	0.004586362062997562
BRCA1	4.0	0.0038075458636206427
OASL	23.0	-0.004759432329525803
HS2ST1	16.0	0.004586362062997562
CASP9	3.0	0.0038075458636206427
TRIM68	24.0	-0.004759432329525803
ADAMTS9	0.0	-0.004759432329525803
HSP90AA1	4.0	0.0038075458636206427
ARG2	20.0	0.004586362062997562
ZHX3	12.0	0.004586362062997562
ELOVL6	9.0	0.004586362062997562
NAV2	7.0	0.004586362062997562
ZDHHC11	16.0	0.004586362062997562
PALLD	10.0	0.004586362062997562
IRF7	1.0	-0.004759432329525803
ATG4B	1.0	-0.004759432329525803
KIF2C	19.0	0.004586362062997562
SGK1	5.0	0.004586362062997562
MET	1.0	-0.004759432329525803
CHST3	21.0	0.004586362062997562
ZNF232	23.0	-0.004759432329525803
KDM3A	14.0	0.004586362062997562
LAMA2	19.0	0.004586362062997562
RGS16	19.0	0.004586362062997562
GOSR2	1.0	-0.004759432329525803
TUBD1	22.0	0.004586362062997562
RBM4B	1.0	-0.004759432329525803
LRP4	16.0	0.004586362062997562
HSD17B7	23.0	-0.004759432329525803
PSMC3IP	1.0	-0.004759432329525803
RXRB	21.0	0.004586362062997562
ERBB4	6.0	0.004586362062997562
PDPN	15.0	0.004586362062997562
CHRNA10	23.0	-0.004759432329525803
BRD4	13.0	0.004586362062997562
APOL2	2.0	-0.004759432329525803
EGLN2	23.0	-0.004759432329525803
ANGPT1	6.0	0.004586362062997562
IL10RB	21.0	0.004586362062997562
KCNJ14	15.0	0.004586362062997562
CYHR1	2.0	-0.004759432329525803
NAGA	1.0	-0.004759432329525803
SEMA4F	2.0	-0.004759432329525803
APTX	1.0	-0.004759432329525803
KLF2	4.0	0.0038075458636206427
DHODH	1.0	-0.004759432329525803
PER2	8.0	0.004586362062997562
KLF7	7.0	0.004586362062997562
PER1	7.0	0.004586362062997562
KITLG	24.0	-0.004759432329525803
MFAP1	23.0	-0.004759432329525803
COL7A1	24.0	-0.004759432329525803
KLF9	8.0	0.004586362062997562
ASB9	8.0	0.004586362062997562
SCLY	2.0	-0.004759432329525803
