Item ID	Item value	Change in Kuiper test statistic when item removed
JPT1	1.0	-0.0064102564102563875
FASTKD1	1.0	-0.0064102564102563875
CDCA4	13.0	0.019230769230769273
JPT2	2.0	-0.0064102564102563875
HMMR	20.0	0.009615384615384581
HSPD1	3.0	-0.0064102564102563875
THG1L	3.0	-0.0064102564102563875
AURKA	21.0	-1.1102230246251565E-16
HS2ST1	16.0	0.019230769230769273
RBM4	1.0	-0.0064102564102563875
CCNB1	21.0	-1.1102230246251565E-16
TBC1D31	24.0	-0.0064102564102563875
UBXN8	3.0	-0.0064102564102563875
DPH5	1.0	-0.0064102564102563875
OIP5	0.0	-0.0064102564102563875
CCT5	0.0	-0.0064102564102563875
PSPH	2.0	-0.0064102564102563875
FANCI	15.0	0.019230769230769273
EIF2B4	23.0	-0.0064102564102563875
GINS2	6.0	0.019230769230769273
RRM2	22.0	-0.0064102564102563875
ANGEL1	2.0	-0.0064102564102563875
CAD	2.0	-0.0064102564102563875
BFAR	23.0	-0.0064102564102563875
ACSL3	3.0	-0.0064102564102563875
TUBG1	20.0	0.009615384615384581
NLE1	1.0	-0.0064102564102563875
WDR77	2.0	-0.0064102564102563875
RNF126	13.0	0.019230769230769273
YEATS2	1.0	-0.0064102564102563875
SLCO4A1	5.0	0.019230769230769273
CKS2	22.0	-0.0064102564102563875
TIMELESS	3.0	-0.0064102564102563875
BIRC5	15.0	0.019230769230769273
CENPN	14.0	0.019230769230769273
B9D1	7.0	0.019230769230769273
KIF2C	19.0	0.019230769230769273
CRELD1	2.0	-0.0064102564102563875
LDAH	3.0	-0.0064102564102563875
DCP2	24.0	-0.0064102564102563875
