Item ID	Item value	Change in Kuiper test statistic when item removed
GALNT14	6.0	-0.0036216137911054824
SLC27A1	2.0	-0.0036216137911054824
WWC1	6.0	-0.0036216137911054824
NEXMIF	14.0	0.004925394755903145
CEP19	23.0	0.004925394755903034
FAM107A	13.0	0.004925394755903034
LOXL4	20.0	0.004925394755903145
CIB1	19.0	0.004925394755903145
CWH43	7.0	-0.0036216137911054824
AQP3	4.0	-0.0036216137911054824
FAM107B	14.0	0.004925394755903145
RAB43	14.0	0.004925394755903145
KDM7A-DT	15.0	0.004925394755903034
LIPH	6.0	-0.0036216137911054824
CDK20	24.0	-0.0036216137911054824
TEKT2	14.0	0.004925394755903145
DZIP1L	14.0	0.004925394755903145
RPTN	9.0	0.004925394755903145
TMEM8B	3.0	-0.0036216137911054824
SSUH2	7.0	-0.0036216137911054824
RFX2	13.0	0.004925394755903034
FBXO15	3.0	-0.0036216137911054824
SDCBP2	12.0	0.004925394755903145
CYP39A1	3.0	-0.0036216137911054824
CH25H	21.0	0.004925394755903034
MOB3C	23.0	0.004925394755903034
ALDH3A1	15.0	0.004925394755903034
KATNAL2	4.0	-0.0036216137911054824
PRR15L	7.0	-0.0036216137911054824
CLDN8	6.0	-0.0036216137911054824
EZR	12.0	0.004925394755903145
NEIL1	1.0	-0.0036216137911054824
ZNF395	16.0	0.004925394755903034
EXD3	0.0	-0.0036216137911054824
PPP1R32	22.0	0.004925394755903034
FAM27C	0.0	-0.0036216137911054824
TSHZ2	8.0	0.004925394755903034
CSTF2	22.0	0.004925394755903034
NEDD4L	6.0	-0.0036216137911054824
APCDD1	14.0	0.004925394755903145
SPATA6	14.0	0.004925394755903145
FUT3	15.0	0.004925394755903034
FAM221A	15.0	0.004925394755903034
MYH11	6.0	-0.0036216137911054824
VILL	2.0	-0.0036216137911054824
TGFB1	19.0	0.004925394755903145
CFAP70	5.0	-0.0036216137911054824
FBXO36	14.0	0.004925394755903145
FOXN3	15.0	0.004925394755903034
ELL3	2.0	-0.0036216137911054824
TSGA10	4.0	-0.0036216137911054824
RAET1E	3.0	-0.0036216137911054824
BCL6	8.0	0.004925394755903034
UST	2.0	-0.0036216137911054824
RSPH14	15.0	0.004925394755903034
DZIP3	3.0	-0.0036216137911054824
CLIC5	2.0	-0.0036216137911054824
ST6GALNAC1	6.0	-0.0036216137911054824
MED16	2.0	-0.0036216137911054824
SYNE4	5.0	-0.0036216137911054824
PRSS23	14.0	0.004925394755903145
VSIG10L	5.0	-0.0036216137911054824
CASP9	3.0	-0.0036216137911054824
SDR16C5	21.0	0.004925394755903034
ZCWPW1	3.0	-0.0036216137911054824
HHEX	17.0	0.004925394755903034
DBP	2.0	-0.0036216137911054824
HEY1	4.0	-0.0036216137911054824
CHL1	7.0	-0.0036216137911054824
EFCAB2	15.0	0.004925394755903034
EFHD2	15.0	0.004925394755903034
BDKRB2	16.0	0.004925394755903034
CNPPD1	3.0	-0.0036216137911054824
ARG2	20.0	0.004925394755903145
RIPK3	0.0	-0.0036216137911054824
DUSP1	7.0	-0.0036216137911054824
STRBP	6.0	-0.0036216137911054824
MYEOV	2.0	-0.0036216137911054824
WDR31	0.0	-0.0036216137911054824
NSUN7	13.0	0.004925394755903034
TENT5B	6.0	-0.0036216137911054824
CBFA2T3	1.0	-0.0036216137911054824
CES4A	4.0	-0.0036216137911054824
EPN3	5.0	-0.0036216137911054824
ANKFN1	2.0	-0.0036216137911054824
LRTOMT	2.0	-0.0036216137911054824
TRNP1	6.0	-0.0036216137911054824
B3GNT4	21.0	0.004925394755903034
METTL27	0.0	-0.0036216137911054824
ZMYND12	2.0	-0.0036216137911054824
HDAC5	0.0	-0.0036216137911054824
ADH1C	4.0	-0.0036216137911054824
SLC20A2	14.0	0.004925394755903145
ATP10B	5.0	-0.0036216137911054824
ATP1A2	6.0	-0.0036216137911054824
CRIP1	18.0	0.004925394755903034
RXRB	21.0	0.004925394755903034
ERICH5	4.0	-0.0036216137911054824
RECQL5	2.0	-0.0036216137911054824
GMDS	7.0	-0.0036216137911054824
FAM184A	23.0	0.004925394755903034
GNG7	7.0	-0.0036216137911054824
RIBC1	2.0	-0.0036216137911054824
CRYM	16.0	0.004925394755903034
BEND5	15.0	0.004925394755903034
DUOX2	16.0	0.004925394755903034
TMEM61	9.0	0.004925394755903145
CYP4B1	6.0	-0.0036216137911054824
LRWD1	24.0	-0.0036216137911054824
KLF2	4.0	-0.0036216137911054824
KLF8	4.0	-0.0036216137911054824
PER2	8.0	0.004925394755903034
PER1	7.0	-0.0036216137911054824
SVOPL	10.0	0.004925394755903034
TMCO6	0.0	-0.0036216137911054824
CTH	22.0	0.004925394755903034
B9D1	7.0	-0.0036216137911054824
CLUAP1	3.0	-0.0036216137911054824
