Item ID	Item value	Change in Kuiper test statistic when item removed
RTP4	11.0	-0.0050925925925925375
JPT1	13.0	-0.0050925925925926485
SLC27A1	14.0	-0.0050925925925925375
SERPINE2	1.0	0.007407407407407474
ZFAND2A	1.0	0.007407407407407474
CITED4	19.0	0.007407407407407418
TFCP2L1	21.0	0.007407407407407418
WDR46	12.0	-0.0050925925925925375
OASL	11.0	-0.0050925925925925375
ADAMTS4	8.0	0.007407407407407474
IFIH1	13.0	-0.0050925925925926485
RAB43	2.0	0.007407407407407474
FLCN	11.0	-0.0050925925925925375
EPM2AIP1	11.0	-0.0050925925925925375
RBM4	13.0	-0.0050925925925926485
SPR	15.0	-0.0050925925925926485
TRIM5	14.0	-0.0050925925925925375
PSTPIP2	3.0	0.007407407407407474
ZMIZ2	13.0	-0.0050925925925926485
NMRK1	14.0	-0.0050925925925925375
PDK4	15.0	-0.0050925925925926485
UPP1	4.0	0.007407407407407474
GTSE1	3.0	0.007407407407407474
JUNB	8.0	0.007407407407407474
VPS18	17.0	0.007407407407407418
IL4R	7.0	0.007407407407407474
STARD5	13.0	-0.0050925925925926485
DESI1	16.0	-0.0050925925925925375
PHYKPL	16.0	-0.0050925925925925375
ANGEL1	14.0	-0.0050925925925925375
UBE2E1	1.0	0.007407407407407474
SORD	20.0	0.007407407407407418
ARMC7	11.0	-0.0050925925925925375
AMPD2	12.0	-0.0050925925925925375
OVOL1	17.0	0.007407407407407418
SAP30	4.0	0.007407407407407474
PDRG1	10.0	-9.259259259259411E-4
TBC1D1	16.0	-0.0050925925925925375
TRAF4	1.0	0.007407407407407474
PEX6	14.0	-0.0050925925925925375
IRF7	13.0	-0.0050925925925926485
FETUB	19.0	0.007407407407407418
MTFR2	2.0	0.007407407407407474
PIGF	14.0	-0.0050925925925925375
ATF3	11.0	-0.0050925925925925375
SMIM3	0.0	0.007407407407407474
GCDH	12.0	-0.0050925925925925375
PKDCC	10.0	-9.259259259259411E-4
RGS16	7.0	0.007407407407407474
CXCR4	19.0	0.007407407407407418
NID2	13.0	-0.0050925925925926485
USP18	16.0	-0.0050925925925925375
ARNTL	5.0	0.007407407407407474
SLC9A3R2	17.0	0.007407407407407418
RXRB	9.0	0.007407407407407474
PSMC3IP	13.0	-0.0050925925925926485
HSD11B2	23.0	0.007407407407407418
EXTL1	15.0	-0.0050925925925926485
DRAM1	9.0	0.007407407407407474
CCL2	10.0	-9.259259259259411E-4
NPTX1	16.0	-0.0050925925925925375
SAC3D1	12.0	-0.0050925925925925375
ST3GAL2	11.0	-0.0050925925925925375
EGR1	12.0	-0.0050925925925925375
NFYB	12.0	-0.0050925925925925375
CYHR1	14.0	-0.0050925925925925375
DDIT4L	10.0	-9.259259259259411E-4
LRWD1	12.0	-0.0050925925925925375
VASN	4.0	0.007407407407407474
DNAJC18	3.0	0.007407407407407474
DNAJA1	13.0	-0.0050925925925926485
ALDH4A1	15.0	-0.0050925925925926485
CABYR	23.0	0.007407407407407418
SLC6A8	5.0	0.007407407407407474
NMNAT1	12.0	-0.0050925925925925375
GKAP1	14.0	-0.0050925925925925375
UBE2T	11.0	-0.0050925925925925375
CD207	16.0	-0.0050925925925925375
NABP1	13.0	-0.0050925925925926485
NFKBIE	8.0	0.007407407407407474
MXD3	0.0	0.007407407407407474
