Item ID	Item value	Change in Kuiper test statistic when item removed
JPT1	13.0	-0.005879692446856655
ZNF692	15.0	-0.005879692446856655
GALNT14	18.0	0.009271822704658483
CLPB	15.0	-0.005879692446856655
RFESD	14.0	-0.005879692446856655
JPT2	14.0	-0.005879692446856655
MPI	12.0	-0.005879692446856655
RRP1	1.0	0.009271822704658483
SLC2A1	2.0	0.009271822704658483
ECE2	13.0	-0.005879692446856655
WDR46	12.0	-0.005879692446856655
DEPTOR	16.0	-0.005879692446856655
SPR	15.0	-0.005879692446856655
SESN3	13.0	-0.005879692446856655
CA2	16.0	-0.005879692446856655
CSKMT	13.0	-0.005879692446856655
CHORDC1	12.0	-0.005879692446856655
SACS	11.0	0.005483943916779754
CTSG	2.0	0.009271822704658483
PRKACB	1.0	0.009271822704658483
NEFH	18.0	0.009271822704658483
ZNF641	10.0	0.009271822704658483
HSP90AA1	16.0	-0.005879692446856655
ABCC5	14.0	-0.005879692446856655
STRBP	18.0	0.009271822704658483
SORD	20.0	0.009271822704658483
PLA2G4A	14.0	-0.005879692446856655
WDR75	3.0	0.009271822704658483
EBF3	3.0	0.009271822704658483
ARMC8	0.0	0.009271822704658483
ZDHHC11	4.0	0.009271822704658483
WDR77	14.0	-0.005879692446856655
SLC5A6	15.0	-0.005879692446856655
TBC1D1	16.0	-0.005879692446856655
RNF126	1.0	0.009271822704658483
TRNP1	18.0	0.009271822704658483
CKS2	10.0	0.009271822704658483
MT1F	4.0	0.009271822704658483
ZNF438	14.0	-0.005879692446856655
SNRPA1	3.0	0.009271822704658483
GEMIN6	11.0	0.005483943916779754
PGAM5	13.0	-0.005879692446856655
CRELD1	14.0	-0.005879692446856655
FJX1	2.0	0.009271822704658483
TEX261	13.0	-0.005879692446856655
METTL21A	11.0	0.005483943916779754
HSPD1	15.0	-0.005879692446856655
EXOSC7	4.0	0.009271822704658483
HSPH1	13.0	-0.005879692446856655
DRAM1	9.0	0.009271822704658483
GMDS	19.0	0.009271822704658483
DPH2	13.0	-0.005879692446856655
TRMT10A	13.0	-0.005879692446856655
EGR1	12.0	-0.005879692446856655
ZBTB16	20.0	0.009271822704658483
PRG2	3.0	0.009271822704658483
KNOP1	13.0	-0.005879692446856655
NR1D2	14.0	-0.005879692446856655
DHCR24	19.0	0.009271822704658483
APTX	13.0	-0.005879692446856655
DHODH	13.0	-0.005879692446856655
DNAJA1	13.0	-0.005879692446856655
KITLG	12.0	-0.005879692446856655
MGAT4A	1.0	0.009271822704658483
SCLY	14.0	-0.005879692446856655
MON1A	12.0	-0.005879692446856655
EEF1AKMT1	14.0	-0.005879692446856655
