Item ID	Item value	Change in Kuiper test statistic when item removed
CYP2J2	18.0	-0.004761904761904856
HEXIM2	12.0	-0.004761904761904856
CCDC121	12.0	-0.004761904761904856
PLA2G4F	15.0	-0.004761904761904856
DQX1	14.0	-0.004761904761904856
NOTCH4	17.0	-0.004761904761904856
GPR20	12.0	-0.004761904761904856
SNX10	24.0	0.06666666666666654
GLRX	19.0	-0.004761904761904967
SYNE4	17.0	-0.004761904761904856
PODNL1	14.0	-0.004761904761904856
TEF	15.0	-0.004761904761904856
PRR15L	19.0	-0.004761904761904967
ASPG	19.0	-0.004761904761904967
XAF1	13.0	-0.004761904761904856
