Item ID	Item value	Change in Kuiper test statistic when item removed
ZNF177	14.0	-0.009009009009008917
ZBED8	11.0	0.018768768768768873
SRBD1	15.0	-0.009009009009009139
CETN3	13.0	-0.009009009009008917
UBFD1	13.0	-0.009009009009008917
BRCA1	16.0	-0.009009009009009028
OMA1	14.0	-0.009009009009008917
LYPD5	17.0	0.018768768768768762
TMEM141	16.0	-0.009009009009009028
AURKA	9.0	0.018768768768768873
FAM107B	2.0	0.018768768768768873
C5	16.0	-0.009009009009009028
TBC1D31	12.0	-0.009009009009008917
OPA1	1.0	0.018768768768768873
PSPH	14.0	-0.009009009009008917
SAC3D1	12.0	-0.009009009009008917
ATP6V0E2-AS1	12.0	-0.009009009009008917
FANCI	3.0	0.018768768768768762
RRM2	10.0	0.018768768768768873
NFYA	13.0	-0.009009009009008917
ABCC5	14.0	-0.009009009009008917
SLX4IP	14.0	-0.009009009009008917
CYHR1	14.0	-0.009009009009008917
ACYP1	14.0	-0.009009009009008917
PTGR2	15.0	-0.009009009009009139
KLHL9	13.0	-0.009009009009008917
HOOK2	16.0	-0.009009009009009028
CDK5	15.0	-0.009009009009009139
CENPJ	12.0	-0.009009009009008917
BIRC5	3.0	0.018768768768768762
CENPN	2.0	0.018768768768768873
MTFR2	2.0	0.018768768768768873
DZIP3	15.0	-0.009009009009009139
GALK2	14.0	-0.009009009009008917
ANKRD36B	1.0	0.018768768768768873
CCDC90B	12.0	-0.009009009009008917
FKBP5	20.0	0.018768768768768762
