Item ID	Item value	Change in Kuiper test statistic when item removed
CETN3	1.0	-0.004554865424430843
ADK	14.0	0.009937888198757738
BRCA1	4.0	-0.004554865424430843
ECE2	1.0	-0.004554865424430843
TNF	20.0	0.006314699792960621
B3GNTL1	2.0	-0.004554865424430843
DCAF7	1.0	-0.004554865424430843
HK2	10.0	0.009937888198757516
HS2ST1	16.0	0.009937888198757738
PTTG1	15.0	0.009937888198757627
TBC1D31	24.0	-0.004554865424430732
OIP5	0.0	-0.004554865424430843
GTSE1	15.0	0.009937888198757627
ZNF202	24.0	-0.004554865424430732
PDK1	15.0	0.009937888198757627
ALG8	3.0	-0.004554865424430843
SLC15A1	9.0	0.009937888198757516
HSP90AA1	4.0	-0.004554865424430843
CAD	2.0	-0.004554865424430843
UBE2E1	13.0	0.009937888198757738
CTPS1	3.0	-0.004554865424430843
ACYP1	2.0	-0.004554865424430843
CBFA2T3	1.0	-0.004554865424430843
SAP30	16.0	0.009937888198757738
WDR77	2.0	-0.004554865424430843
AFG3L2	13.0	0.009937888198757738
TBC1D1	4.0	-0.004554865424430843
RNF126	13.0	0.009937888198757738
MED20	23.0	8.799171842649445E-4
CKS2	22.0	0.0026915113871636143
TIMELESS	3.0	-0.004554865424430843
SNRPA1	15.0	0.009937888198757627
KIF2C	19.0	0.00812629399585918
PIGF	2.0	-0.004554865424430843
DCP2	24.0	-0.004554865424430732
UBFD1	1.0	-0.004554865424430843
HMMR	20.0	0.006314699792960621
HMGCR	1.0	-0.004554865424430843
CYP2C18	7.0	0.009937888198757516
HOXD10	16.0	0.009937888198757738
CD1A	2.0	-0.004554865424430843
AURKA	21.0	0.0026915113871636143
CENPC	13.0	0.009937888198757738
HSPD1	3.0	-0.004554865424430843
PSMC3IP	1.0	-0.004554865424430843
EXOSC7	16.0	0.009937888198757738
CCNB1	21.0	0.0026915113871636143
HSPH1	1.0	-0.004554865424430843
DPH2	1.0	-0.004554865424430843
ZKSCAN4	19.0	0.00812629399585918
SF3B1	14.0	0.009937888198757738
ST3GAL2	23.0	8.799171842649445E-4
SAC3D1	0.0	-0.004554865424430843
CCT5	0.0	-0.004554865424430843
FANCI	15.0	0.009937888198757627
RRM2	22.0	0.0026915113871636143
TGFB1	19.0	0.00812629399585918
ZNF184	21.0	0.0026915113871636143
NFYB	0.0	-0.004554865424430843
KLRC4	11.0	0.009937888198757516
CYP51A1	5.0	0.009937888198757516
PYCR1	5.0	0.009937888198757516
FANCC	4.0	-0.004554865424430843
IFFO1	21.0	0.0026915113871636143
TTC39A	1.0	-0.004554865424430843
MFAP1	23.0	8.799171842649445E-4
NAT1	20.0	0.006314699792960621
IGLL1	3.0	-0.004554865424430843
CEP162	0.0	-0.004554865424430843
TUBGCP3	15.0	0.009937888198757627
