Item ID	Item value	Change in Kuiper test statistic when item removed
FANCI	3.0	0.05147058823529416
MUS81	13.0	-0.011029411764705843
DCLRE1A	11.0	-0.011029411764705843
EYA2	17.0	0.030637254901960898
COPS7A	14.0	-0.011029411764705843
FANCC	16.0	-0.011029411764705843
BRCA1	16.0	-0.011029411764705843
RAD23B	1.0	0.05147058823529416
RAD52	12.0	-0.011029411764705843
RAD50	13.0	-0.011029411764705843
BRIP1	1.0	0.05147058823529416
RAD51D	12.0	-0.011029411764705843
SLX4	12.0	-0.011029411764705843
UBE2T	11.0	-0.011029411764705843
TIMELESS	15.0	-0.011029411764705843
TP53BP1	14.0	-0.011029411764705843
NEIL1	13.0	-0.011029411764705843
