Item ID	Item value	Change in Kuiper test statistic when item removed
EIF4A2	3.0	-0.010822510822510956
TRMT10A	1.0	-0.010822510822510956
METTL1	1.0	-0.010822510822510956
CSTF2	22.0	0.030844155844155785
ADAT1	23.0	-0.010822510822510956
WDR75	15.0	0.036796536796536716
SMG9	24.0	-0.010822510822510956
NOL9	15.0	0.036796536796536716
MRM1	0.0	-0.010822510822510956
THG1L	3.0	-0.010822510822510956
WDR77	2.0	-0.010822510822510956
EDC3	2.0	-0.010822510822510956
EXOSC7	16.0	0.036796536796536716
NT5C3B	2.0	-0.010822510822510956
TRMT13	0.0	-0.010822510822510956
SNRPA1	15.0	0.036796536796536716
GEMIN6	23.0	-0.010822510822510956
SF3B1	14.0	0.036796536796536716
SRSF7	1.0	-0.010822510822510956
RBM5	0.0	-0.010822510822510956
DCP2	24.0	-0.010822510822510956
HSPA1A	1.0	-0.010822510822510956
