Item ID	Item value	Change in Kuiper test statistic when item removed
F13A1	4.0	0.01083158630328429
PRSS23	2.0	0.01083158630328429
HHEX	5.0	0.01083158630328429
DEPTOR	16.0	-0.008036338225017592
EFCAB2	3.0	0.01083158630328429
TRIM68	12.0	0.01083158630328429
CD36	19.0	-0.004105520614954727
HMGCS2	18.0	-0.008036338225017592
PRKACB	1.0	0.01083158630328429
CERS4	17.0	-0.008036338225017592
ALG8	15.0	-0.008036338225017592
SORD	20.0	0.01083158630328429
ACSL3	15.0	-0.008036338225017592
CBFA2T3	13.0	-0.008036338225017592
RNF41	1.0	0.01083158630328429
AZGP1	18.0	-0.008036338225017592
NAV3	18.0	-0.008036338225017592
ANOS1	15.0	-0.008036338225017592
ASPA	16.0	-0.008036338225017592
ABCG1	3.0	0.01083158630328429
HOXB6	9.0	0.01083158630328429
NAIP	13.0	-0.008036338225017592
CX3CR1	10.0	0.01083158630328429
SLC24A1	14.0	-0.008036338225017592
AMIGO2	1.0	0.01083158630328429
CHRD	7.0	0.01083158630328429
GREB1L	1.0	0.01083158630328429
GSTT2	13.0	-0.008036338225017592
NEDD4L	18.0	-0.008036338225017592
ATP1A2	18.0	-0.008036338225017592
HIGD1B	18.0	-0.008036338225017592
CRIP1	6.0	0.01083158630328429
SEC14L2	23.0	0.01083158630328429
SOCS2	16.0	-0.008036338225017592
HPX	3.0	0.01083158630328429
TSPAN8	13.0	-0.008036338225017592
CNR1	16.0	-0.008036338225017592
ERBB4	18.0	-0.008036338225017592
MYH11	18.0	-0.008036338225017592
GALNT7	15.0	-0.008036338225017592
ZBTB16	20.0	0.01083158630328429
EPHX2	18.0	-0.008036338225017592
CYP4B1	18.0	-0.008036338225017592
DHCR24	19.0	-0.004105520614954727
C1ORF21	2.0	0.01083158630328429
DCLK1	3.0	0.01083158630328429
TTC39A	13.0	-0.008036338225017592
SYT17	12.0	0.01083158630328429
ALDH4A1	15.0	-0.008036338225017592
MFAP4	7.0	0.01083158630328429
NAT1	8.0	0.01083158630328429
B9D1	19.0	-0.004105520614954727
DZIP3	15.0	-0.008036338225017592
SLC49A3	16.0	-0.008036338225017592
