Item ID	Item value	Change in Kuiper test statistic when item removed
SAMD5	7.0	-0.007894736842105177
SBSPON	4.0	-0.007894736842105177
EGR1	24.0	0.022807017543859553
MEGF6	2.0	-0.007894736842105177
USP31	13.0	0.04473684210526324
DUSP1	7.0	-0.007894736842105177
CFAP70	5.0	-0.007894736842105177
ZBTB16	8.0	-0.007894736842105288
TSHZ2	8.0	-0.007894736842105288
MAMDC2	16.0	0.04473684210526324
TNC	13.0	0.04473684210526324
ATP1A2	6.0	-0.007894736842105177
CCDC9B	4.0	-0.007894736842105177
RNFT1	1.0	-0.007894736842105177
PER1	7.0	-0.007894736842105177
CHL1	7.0	-0.007894736842105177
CLDN8	6.0	-0.007894736842105177
MYH11	6.0	-0.007894736842105177
MET	1.0	-0.007894736842105177
ATF3	23.0	0.0337719298245614
