Item ID	Item value	Change in Kuiper test statistic when item removed
DCLRE1A	11.0	-0.00600600600600576
DET1	13.0	-0.00600600600600576
PPP1R32	10.0	-0.00600600600600576
SPIN3	10.0	-0.00600600600600576
MEPCE	10.0	-0.00600600600600576
RBM4B	13.0	-0.00600600600600576
TUBD1	10.0	-0.00600600600600576
SMG9	12.0	-0.00600600600600576
HSD17B7	11.0	-0.00600600600600576
CIART	16.0	-0.006006006006005871
ZNF280D	15.0	-0.006006006006005871
GMPPB	13.0	-0.00600600600600576
NMRAL2P	10.0	-0.00600600600600576
EPM2AIP1	11.0	-0.00600600600600576
SLX4	12.0	-0.00600600600600576
ZNF767P	13.0	-0.00600600600600576
SENP8	12.0	-0.00600600600600576
TMEM89	2.0	0.02177177177177203
PDK4	15.0	-0.006006006006005871
DPH5	13.0	-0.00600600600600576
BRD8	13.0	-0.00600600600600576
GTSE1	3.0	0.02177177177177203
ZNF436-AS1	5.0	0.02177177177177203
ZNF287	12.0	-0.00600600600600576
LINC00174	14.0	-0.006006006006005871
RBM14	14.0	-0.006006006006005871
C17ORF80	10.0	-0.00600600600600576
TTC38	23.0	0.02177177177177192
RAD52	12.0	-0.00600600600600576
PER3	17.0	0.02177177177177192
GPAM	16.0	-0.006006006006005871
BCL6	20.0	0.02177177177177192
ZNF30	10.0	-0.00600600600600576
NDUFAF5	23.0	0.02177177177177192
RSRP1	14.0	-0.006006006006005871
ASPA	16.0	-0.006006006006005871
ANKRD36B	1.0	0.02177177177177203
