Item ID	Item value	Change in Kuiper test statistic when item removed
DIRAS3	3.0	0.005487122060470084
TSKS	15.0	-0.0051511758118702455
EIF4A2	15.0	-0.0051511758118702455
CCDC167	15.0	-0.0051511758118702455
ANKRD13B	12.0	-0.0051511758118703566
CLIC5	14.0	-0.0051511758118703566
SAMD9L	14.0	-0.0051511758118703566
ORM1	11.0	-0.0051511758118703566
CD83	10.0	-0.0051511758118703566
TNFAIP6	3.0	0.005487122060470084
DIRAS1	19.0	0.00548712206047014
SPIN3	10.0	-0.0051511758118703566
ADRA1B	22.0	0.00548712206047014
ARIH2OS	2.0	0.005487122060470084
MYOM3	12.0	-0.0051511758118703566
OASL	11.0	-0.0051511758118703566
RAB43	2.0	0.005487122060470084
PODNL1	14.0	-0.0051511758118703566
LIPH	18.0	0.00548712206047014
GPR171	12.0	-0.0051511758118703566
SACS	11.0	-0.0051511758118703566
DACT2	3.0	0.005487122060470084
DPF3	14.0	-0.0051511758118703566
HMGB3P1	1.0	0.005487122060470084
CTSG	2.0	0.005487122060470084
CCR5	11.0	-0.0051511758118703566
RPTN	21.0	0.00548712206047014
ZNF641	10.0	-0.0051511758118703566
RBBP8NL	12.0	-0.0051511758118703566
LZTS3	2.0	0.005487122060470084
ATP6V0E2-AS1	12.0	-0.0051511758118703566
TMEM8B	15.0	-0.0051511758118702455
IL4R	7.0	0.005487122060470084
TNFRSF12A	5.0	0.005487122060470084
SGIP1	21.0	0.00548712206047014
MYEOV	14.0	-0.0051511758118703566
KCNH8	1.0	0.005487122060470084
ARID5A	3.0	0.005487122060470084
EBF3	3.0	0.005487122060470084
MYRIP	2.0	0.005487122060470084
NSUN7	1.0	0.005487122060470084
ANKFN1	14.0	-0.0051511758118703566
FNDC1	5.0	0.005487122060470084
RBP1	24.0	0.00548712206047014
IRF7	13.0	-0.0051511758118702455
FAM161B	13.0	-0.0051511758118702455
BCORL1	10.0	-0.0051511758118703566
FJX1	2.0	0.005487122060470084
NGEF	5.0	0.005487122060470084
OSBP2	1.0	0.005487122060470084
LINC00482	13.0	-0.0051511758118702455
SAMD5	19.0	0.00548712206047014
ZNF550	10.0	-0.0051511758118703566
CSF1R	8.0	0.00548712206047014
DEFB103B	14.0	-0.0051511758118703566
MEGF6	14.0	-0.0051511758118703566
KRT80	18.0	0.00548712206047014
CCDC142	11.0	-0.0051511758118703566
TUBAL3	24.0	0.00548712206047014
LAMA2	7.0	0.005487122060470084
FAM27C	12.0	-0.0051511758118703566
AMIGO2	1.0	0.005487122060470084
ZDHHC23	14.0	-0.0051511758118703566
CRIP1	6.0	0.005487122060470084
PHYHIP	10.0	-0.0051511758118703566
RNFT1	13.0	-0.0051511758118702455
BRIP1	1.0	0.005487122060470084
C10ORF95	15.0	-0.0051511758118702455
CNR1	16.0	0.004600597237775117
CDH23	5.0	0.005487122060470084
UGT3A2	16.0	0.004600597237775117
ALKAL2	1.0	0.005487122060470084
RELT	2.0	0.005487122060470084
SAC3D1	12.0	-0.0051511758118703566
KCNJ2	8.0	0.00548712206047014
BTNL9	18.0	0.00548712206047014
NFE2	7.0	0.005487122060470084
MPIG6B	12.0	-0.0051511758118703566
CKM	20.0	0.00548712206047014
IL37	15.0	-0.0051511758118702455
NR1D1	12.0	-0.0051511758118703566
FMO4	15.0	-0.0051511758118702455
CLK4	10.0	-0.0051511758118703566
IFFO1	9.0	0.005487122060470084
IL1F10	14.0	-0.0051511758118703566
CRNN	15.0	-0.0051511758118702455
MFAP4	7.0	0.005487122060470084
RAET1E	15.0	-0.0051511758118702455
RCAN2	2.0	0.005487122060470084
CD207	16.0	0.004600597237775117
RSPH14	3.0	0.005487122060470084
RIMBP3	12.0	-0.0051511758118703566
FMOD	7.0	0.005487122060470084
PNPLA1	16.0	0.004600597237775117
SLC28A3	22.0	0.00548712206047014
