Item ID	Item value	Change in Kuiper test statistic when item removed
DCLRE1A	11.0	-0.0075757575757574025
INTS13	12.0	-0.0075757575757574025
RTKN	13.0	-0.0075757575757574025
CETN3	13.0	-0.0075757575757574025
CIB1	7.0	-0.0075757575757574025
CENPC	1.0	0.023674242424242598
AURKA	9.0	-0.0075757575757574025
FLCN	11.0	-0.0075757575757574025
BRIP1	1.0	0.023674242424242598
CCNB1	9.0	-0.0075757575757574025
RECQL5	14.0	0.013257575757575968
PTTG1	3.0	0.023674242424242598
ZNF449	10.0	-0.0075757575757574025
CDK20	12.0	-0.0075757575757574025
NEK1	16.0	0.023674242424242598
OIP5	12.0	-0.0075757575757574025
SAC3D1	12.0	-0.0075757575757574025
RAB11FIP4	0.0	0.023674242424242598
TP63	0.0	0.023674242424242598
TGFB1	7.0	-0.0075757575757574025
MACC1	19.0	0.023674242424242598
ZBTB16	20.0	0.023674242424242598
VEGFD	7.0	-0.0075757575757574025
EML3	11.0	-0.0075757575757574025
CDC25B	11.0	-0.0075757575757574025
KLHL9	13.0	-0.0075757575757574025
CDK5	15.0	0.013257575757575968
YEATS2	13.0	-0.0075757575757574025
CENPJ	12.0	-0.0075757575757574025
ZFYVE19	13.0	-0.0075757575757574025
CKS2	10.0	-0.0075757575757574025
TIMELESS	15.0	0.013257575757575968
KIF2C	7.0	-0.0075757575757574025
