Item ID	Item value	Change in Kuiper test statistic when item removed
L3MBTL1	13.0	-0.01282051282051283
DIRAS3	3.0	0.025641025641025827
HDAC5	12.0	-0.01282051282051283
KDM3A	2.0	0.025641025641025827
SATB2	14.0	-0.01282051282051283
ZNF518A	13.0	-0.01282051282051283
BRCA1	16.0	-0.01282051282051283
PRDM16	17.0	-0.009615384615384526
OIP5	12.0	-0.01282051282051283
EPC2	12.0	-0.01282051282051283
BRD8	13.0	-0.01282051282051283
MORC2	12.0	-0.01282051282051283
TP63	0.0	0.025641025641025827
BRD4	1.0	0.025641025641025827
BANP	11.0	0.025641025641025827
ATF7IP	16.0	-0.01282051282051283
NFE2	7.0	0.025641025641025827
EYA2	17.0	-0.009615384615384526
LRWD1	12.0	-0.01282051282051283
PPHLN1	14.0	-0.01282051282051283
KLF2	16.0	-0.01282051282051283
YEATS2	13.0	-0.01282051282051283
KCNQ1	1.0	0.025641025641025827
SNAI1	9.0	0.025641025641025827
LRIF1	12.0	-0.01282051282051283
BCORL1	10.0	0.025641025641025827
RCCD1	14.0	-0.01282051282051283
