Item ID	Item value	Change in Kuiper test statistic when item removed
CD83	10.0	-0.003902531886540883
CLPB	15.0	-0.003902531886540883
HP	21.0	0.005901389682086533
TNF	8.0	-0.003902531886540883
RAB43	2.0	0.0059013896820865885
CYSLTR1	13.0	-0.003902531886540883
IL4R	7.0	0.005901389682086533
ARID5A	3.0	0.0059013896820865885
RNASE6	14.0	-0.003902531886540883
MPEG1	9.0	-0.003902531886540883
CH25H	9.0	-0.003902531886540883
LYG1	13.0	-0.003902531886540883
DDIT4	19.0	0.005901389682086533
TYRO3	15.0	-0.003902531886540883
S100A9	3.0	0.0059013896820865885
NAIP	13.0	-0.003902531886540883
S100A7	4.0	0.0059013896820865885
CSF1R	8.0	-0.003902531886540883
DEFB103B	14.0	-0.003902531886540883
MST1R	10.0	-0.003902531886540883
PLA2G5	14.0	-0.003902531886540883
HPX	3.0	0.0059013896820865885
SOCS3	8.0	-0.003902531886540883
C5	16.0	-0.003902531886540883
CLEC7A	2.0	0.0059013896820865885
SLAMF7	14.0	-0.003902531886540883
CD163	5.0	0.005901389682086533
TGFB1	7.0	0.005901389682086533
KLRC4	23.0	0.005901389682086533
FN1	24.0	0.005901389682086533
PRG2	3.0	0.0059013896820865885
NR1D2	14.0	-0.003902531886540883
NR1D1	12.0	-0.003902531886540883
SELE	8.0	-0.003902531886540883
IL1F10	14.0	-0.003902531886540883
SELP	15.0	-0.003902531886540883
BST1	5.0	0.005901389682086533
RAET1E	15.0	-0.003902531886540883
BCL6	20.0	0.005901389682086533
FES	11.0	-0.003902531886540883
CD207	16.0	-0.003902531886540883
BCL3	9.0	-0.003902531886540883
SLC26A6	13.0	-0.003902531886540883
RTP4	11.0	-0.003902531886540883
ORM1	11.0	-0.003902531886540883
TNFAIP6	3.0	0.0059013896820865885
LEAP2	10.0	-0.003902531886540883
TRADD	14.0	-0.003902531886540883
ADM	0.0	0.0059013896820865885
OASL	11.0	-0.003902531886540883
IFIH1	13.0	-0.003902531886540883
CASP8	4.0	0.0059013896820865885
TRIM5	14.0	-0.003902531886540883
HYAL3	14.0	-0.003902531886540883
TRIM68	12.0	-0.003902531886540883
BDKRB2	4.0	0.0059013896820865885
BDKRB1	8.0	-0.003902531886540883
CTSG	2.0	0.0059013896820865885
TNFAIP8L2	11.0	-0.003902531886540883
CD36	19.0	0.005901389682086533
CCR5	11.0	-0.003902531886540883
RBM14	14.0	-0.003902531886540883
EDN1	23.0	0.005901389682086533
HSP90AA1	16.0	-0.003902531886540883
ARG2	8.0	-0.003902531886540883
PTGIR	9.0	-0.003902531886540883
RIPK3	12.0	-0.003902531886540883
DCD	16.0	-0.003902531886540883
IRAK3	24.0	0.005901389682086533
ZDHHC11	4.0	0.0059013896820865885
CEACAM1	17.0	0.005901389682086533
TRAF4	1.0	0.0059013896820865885
IRF1	6.0	0.005901389682086533
C1QTNF12	0.0	0.0059013896820865885
IRF7	13.0	-0.003902531886540883
DNASE1	13.0	-0.003902531886540883
BIRC3	12.0	-0.003902531886540883
CX3CR1	10.0	-0.003902531886540883
HDAC5	12.0	-0.003902531886540883
RNASEL	12.0	-0.003902531886540883
CXCR4	19.0	0.005901389682086533
ATP1A2	18.0	0.005901389682086533
USP18	16.0	-0.003902531886540883
LCE3B	15.0	-0.003902531886540883
CNR1	16.0	-0.003902531886540883
ALOX5	4.0	0.0059013896820865885
CCL2	10.0	-0.003902531886540883
DUOX2	4.0	0.0059013896820865885
BRD4	1.0	0.0059013896820865885
APOL2	14.0	-0.003902531886540883
IL37	15.0	-0.003902531886540883
IL10RB	9.0	-0.003902531886540883
CARD8	12.0	-0.003902531886540883
KLF4	23.0	0.005901389682086533
MCOLN2	2.0	0.0059013896820865885
MFAP4	7.0	0.005901389682086533
PER1	19.0	0.005901389682086533
ITCH	1.0	0.0059013896820865885
GPAM	16.0	-0.003902531886540883
IGLL1	15.0	-0.003902531886540883
GHRL	3.0	0.0059013896820865885
CCL26	9.0	-0.003902531886540883
C1QC	3.0	0.0059013896820865885
