Item ID	Item value	Change in Kuiper test statistic when item removed
DCLRE1A	11.0	-0.009523809523809601
CDADC1	13.0	-0.009523809523809601
PPP1R10	11.0	-0.009523809523809601
INTS3	15.0	-0.009523809523809601
LRWD1	12.0	-0.009523809523809601
BRCA1	16.0	0.03214285714285703
RAD23B	1.0	0.04047619047619033
TNF	8.0	0.04047619047619033
GCNA	11.0	-0.009523809523809601
PRIMPOL	13.0	-0.009523809523809601
HSPD1	15.0	-0.009523809523809601
RAD52	12.0	-0.009523809523809601
ZCWPW1	15.0	-0.009523809523809601
RAD50	13.0	-0.009523809523809601
BRIP1	1.0	0.04047619047619033
HELB	12.0	-0.009523809523809601
FBXO4	3.0	0.04047619047619033
NABP1	13.0	-0.009523809523809601
EPC2	12.0	-0.009523809523809601
DNASE1	13.0	-0.009523809523809601
TP53BP1	14.0	-0.009523809523809601
