Item ID	Item value	Change in Kuiper test statistic when item removed
SLC44A5	21.0	0.033333333333333215
SLC27A1	14.0	-0.008333333333333415
PIGO	14.0	-0.008333333333333415
ABHD3	14.0	-0.008333333333333415
PIGP	15.0	-0.008333333333333415
PLA2G4A	14.0	-0.008333333333333415
ACSL3	15.0	-0.008333333333333415
PIK3R1	20.0	0.008333333333333304
CWH43	19.0	0.0
PIGV	13.0	0.033333333333333326
SOCS2	16.0	-0.008333333333333415
SOCS3	8.0	0.05833333333333324
GPAM	16.0	-0.008333333333333415
LIPH	18.0	0.0
PIGF	14.0	-0.008333333333333415
CDS2	5.0	0.05833333333333324
