Item ID	Item value	Change in Kuiper test statistic when item removed
DPAGT1	14.0	-0.0037453183520598787
SLC44A5	21.0	0.007490636704119924
SLC27A1	14.0	-0.0037453183520598787
PIGO	14.0	-0.0037453183520598787
AVIL	11.0	-0.0037453183520598787
PIGP	15.0	-0.0037453183520598787
PCSK9	2.0	0.0074906367041198685
ADM	0.0	0.0074906367041198685
BRCA1	16.0	-0.0037453183520598787
CWH43	19.0	-0.0037453183520598787
PIGV	13.0	-0.0037453183520598787
TNF	8.0	0.0074906367041198685
SDR16C5	9.0	0.0074906367041198685
LIPH	18.0	-0.0037453183520598787
PDK4	15.0	-0.0037453183520598787
HMGCS2	18.0	-0.0037453183520598787
CD36	19.0	-0.0037453183520598787
ZNF202	12.0	-0.0037453183520598787
GAL3ST4	15.0	-0.0037453183520598787
PDK1	3.0	0.0074906367041198685
UGT2B10	20.0	0.004213483146067565
CERS4	17.0	-0.0037453183520598787
EDN1	23.0	0.007490636704119924
PLA2G4F	15.0	-0.0037453183520598787
ALG8	15.0	-0.0037453183520598787
SIRT4	11.0	-0.0037453183520598787
ALG2	10.0	0.0074906367041198685
ANO9	17.0	-0.0037453183520598787
PLA2G4A	14.0	-0.0037453183520598787
ELOVL6	21.0	0.007490636704119924
ACSL3	15.0	-0.0037453183520598787
PTGR2	15.0	-0.0037453183520598787
THNSL2	7.0	0.0074906367041198685
CYP39A1	15.0	-0.0037453183520598787
ALDH3A1	3.0	0.0074906367041198685
CH25H	9.0	0.0074906367041198685
CEACAM1	17.0	-0.0037453183520598787
ASPG	19.0	-0.0037453183520598787
RBP1	24.0	0.007490636704119924
PLCB1	20.0	0.004213483146067565
ST6GALNAC3	23.0	0.007490636704119924
LDAH	15.0	-0.0037453183520598787
PIGF	14.0	-0.0037453183520598787
CFTR	15.0	-0.0037453183520598787
ABCG1	3.0	0.0074906367041198685
CSF1R	8.0	0.0074906367041198685
GCDH	12.0	-0.0037453183520598787
LIPT1	11.0	-0.0037453183520598787
ADH1C	16.0	-0.0037453183520598787
ABHD3	14.0	-0.0037453183520598787
ASMT	2.0	0.0074906367041198685
TYRP1	6.0	0.0074906367041198685
MTMR8	12.0	-0.0037453183520598787
OMA1	14.0	-0.0037453183520598787
HMGCR	13.0	-0.0037453183520598787
PIK3R1	20.0	0.004213483146067565
PLA2G5	14.0	-0.0037453183520598787
HSD17B7	11.0	-0.0037453183520598787
CYP2C18	19.0	-0.0037453183520598787
FUT3	3.0	0.0074906367041198685
SEC14L2	23.0	0.007490636704119924
HCAR2	10.0	0.0074906367041198685
SOCS2	16.0	-0.0037453183520598787
HSD11B2	23.0	0.007490636704119924
LIMA1	9.0	0.0074906367041198685
SOCS3	8.0	0.0074906367041198685
CNR1	16.0	-0.0037453183520598787
ALOX5	4.0	0.0074906367041198685
ST3GAL5	5.0	0.0074906367041198685
SPTSSB	16.0	-0.0037453183520598787
MORC2	12.0	-0.0037453183520598787
ST3GAL2	11.0	-0.0037453183520598787
APOL2	14.0	-0.0037453183520598787
CYP2J2	18.0	-0.0037453183520598787
EGR1	12.0	-0.0037453183520598787
TGFB1	7.0	0.0074906367041198685
EPHX2	18.0	-0.0037453183520598787
CYP51A1	17.0	-0.0037453183520598787
CYP4B1	18.0	-0.0037453183520598787
NAGA	13.0	-0.0037453183520598787
DHCR24	19.0	-0.0037453183520598787
NR1D2	14.0	-0.0037453183520598787
NR1D1	12.0	-0.0037453183520598787
PER2	20.0	0.004213483146067565
NR4A3	16.0	-0.0037453183520598787
GPAM	16.0	-0.0037453183520598787
CTH	10.0	0.0074906367041198685
SNAI1	9.0	0.0074906367041198685
PNPLA1	16.0	-0.0037453183520598787
CDS2	5.0	0.0074906367041198685
