Item ID	Item value	Change in Kuiper test statistic when item removed
EIF4A2	15.0	-0.005328218243819405
ZNF177	14.0	-0.005328218243819294
ZNF692	15.0	-0.005328218243819405
RARG	10.0	0.009377664109121886
WWC1	19.0	0.0020247229326512683
TFCP2L1	22.0	0.00937766410912183
BRCA1	16.0	-0.005328218243819405
NR2E3	16.0	-0.005328218243819405
TNF	9.0	0.009377664109121886
HHEX	5.0	0.009377664109121886
HELB	12.0	-0.005328218243819294
HEY1	17.0	-0.005328218243819405
SALL4	4.0	0.009377664109121886
ZNF404	15.0	-0.005328218243819405
ZNF248	14.0	-0.005328218243819294
CD36	19.0	0.0020247229326512683
ZNF202	12.0	-0.005328218243819294
TP63	1.0	0.009377664109121886
EDN1	23.0	0.00937766410912183
DUSP1	19.0	0.0020247229326512683
CTNNBIP1	1.0	0.009377664109121886
ARID5A	4.0	0.009377664109121886
TENT5B	19.0	0.0020247229326512683
CBFA2T3	13.0	-0.005328218243819294
THAP1	13.0	-0.005328218243819294
IRF1	6.0	0.009377664109121886
DDIT4	19.0	0.0020247229326512683
CRY1	2.0	0.009377664109121886
IRF7	13.0	-0.005328218243819294
BIRC5	3.0	0.009377664109121886
PKP1	22.0	0.00937766410912183
ZNF239	14.0	-0.005328218243819294
ZNF436	12.0	-0.005328218243819294
PLCB1	20.0	0.0069266837169650874
EZR	1.0	0.009377664109121886
SRSF7	13.0	-0.005328218243819294
PPID	13.0	-0.005328218243819294
FOXO1	23.0	0.00937766410912183
CIART	17.0	-0.005328218243819405
ARNTL	6.0	0.009377664109121886
NFIL3	2.0	0.009377664109121886
PRDM16	17.0	-0.005328218243819405
ZNF425	11.0	0.009377664109121886
TP53BP1	14.0	-0.005328218243819294
CRYM	5.0	0.009377664109121886
HES2	1.0	0.009377664109121886
HES5	12.0	-0.005328218243819294
EGR1	12.0	-0.005328218243819294
IL33	12.0	-0.005328218243819294
POU2F1	2.0	0.009377664109121886
ZBTB16	20.0	0.0069266837169650874
BCDIN3D	11.0	0.009377664109121886
NR1D2	14.0	-0.005328218243819294
NR1D1	12.0	-0.005328218243819294
KLF2	16.0	-0.005328218243819405
KLF8	16.0	-0.005328218243819405
PER2	20.0	0.0069266837169650874
HEYL	12.0	-0.005328218243819294
PER1	19.0	0.0020247229326512683
RAD50	13.0	-0.005328218243819294
PER3	17.0	-0.005328218243819405
CDK5	15.0	-0.005328218243819405
YEATS2	13.0	-0.005328218243819294
NMNAT1	12.0	-0.005328218243819294
BCL3	9.0	0.009377664109121886
SNAI1	9.0	0.009377664109121886
MAP3K10	13.0	-0.005328218243819294
NANOG	4.0	0.009377664109121886
HSPA1A	13.0	-0.005328218243819294
