Item ID	Item value	Change in Kuiper test statistic when item removed
SLC44A5	21.0	0.008196721311475419
PPP1R10	11.0	-0.008469945355191189
ZFAND2A	1.0	0.008196721311475474
CETN3	13.0	-0.008469945355191189
TNF	8.0	0.008196721311475474
TRAM2	8.0	0.008196721311475474
BBC3	9.0	0.008196721311475474
RPGR	23.0	0.008196721311475419
RAB43	2.0	0.008196721311475474
HHEX	5.0	0.008196721311475474
CA2	16.0	-0.0084699453551913
CD36	19.0	0.008196721311475419
ADAMTS9	12.0	-0.008469945355191189
EDN1	23.0	0.008196721311475419
SLC15A1	21.0	0.008196721311475419
ABCC5	14.0	-0.008469945355191189
VPS33A	1.0	0.008196721311475474
SLC6A14	16.0	-0.0084699453551913
SIRT4	11.0	-0.008469945355191189
MYRIP	2.0	0.008196721311475474
ZDHHC11	4.0	0.008196721311475474
AZGP1	18.0	0.008196721311475419
PREPL	14.0	-0.008469945355191189
C1QTNF12	0.0	0.008196721311475474
PEX6	14.0	-0.008469945355191189
ATG4B	13.0	-0.008469945355191189
EZR	0.0	0.008196721311475474
SRSF7	13.0	-0.008469945355191189
CFTR	15.0	-0.008469945355191189
PPID	12.0	-0.008469945355191189
STX1A	11.0	-0.008469945355191189
OCA2	3.0	0.008196721311475474
ABCB6	14.0	-0.008469945355191189
LMAN2L	14.0	-0.008469945355191189
ZDHHC23	14.0	-0.008469945355191189
HMGCR	13.0	-0.008469945355191189
PIK3R1	20.0	0.008196721311475419
HSPD1	15.0	-0.008469945355191189
ARNTL	5.0	0.008196721311475474
CNR1	16.0	-0.0084699453551913
ALOX5	4.0	0.008196721311475474
PDPN	3.0	0.008196721311475474
SLC25A20	16.0	-0.0084699453551913
SNX8	3.0	0.008196721311475474
ANGPT1	18.0	0.008196721311475419
UQCC2	17.0	0.008196721311475419
CADPS	7.0	0.008196721311475474
NR1D1	12.0	-0.008469945355191189
PEX12	11.0	-0.008469945355191189
MCOLN2	2.0	0.008196721311475474
DNAJA1	13.0	-0.008469945355191189
PER2	20.0	0.008196721311475419
TMCO6	12.0	-0.008469945355191189
CDK5	15.0	-0.008469945355191189
HOOK2	16.0	-0.0084699453551913
ATG16L2	15.0	-0.008469945355191189
BCL3	9.0	0.008196721311475474
GHRL	3.0	0.008196721311475474
SFXN2	13.0	-0.008469945355191189
MON1A	12.0	-0.008469945355191189
SLC28A3	22.0	0.008196721311475419
