Item ID	Item value	Change in Kuiper test statistic when item removed
UBXN2B	13.0	-0.008166969147005543
AVIL	11.0	-0.008166969147005543
CEP19	11.0	-0.008166969147005543
SNX10	24.0	0.009376890502117319
BRCA1	16.0	-0.008166969147005543
FNBP1L	15.0	-0.008166969147005543
TNF	8.0	0.009376890502117263
MYOM2	15.0	-0.008166969147005543
RPGR	23.0	0.009376890502117319
EDC3	14.0	-0.008166969147005543
RAB43	2.0	0.009376890502117263
AP4M1	13.0	-0.008166969147005543
DZIP1L	2.0	0.009376890502117263
TEKT2	2.0	0.009376890502117263
NEK1	16.0	-0.008166969147005543
CD34	4.0	0.009376890502117263
TAPT1	11.0	-0.008166969147005543
ABT1	3.0	0.009376890502117263
RBM14	14.0	-0.008166969147005543
EDN1	23.0	0.009376890502117319
TMOD4	12.0	-0.008166969147005543
RFX2	1.0	0.009376890502117263
RFX3	22.0	0.009376890502117319
DYNLL1	13.0	-0.008166969147005543
EML3	11.0	-0.008166969147005543
TBC1D1	16.0	-0.008166969147005543
BBS10	11.0	-0.008166969147005543
GORASP2	2.0	0.009376890502117263
TMEM138	21.0	0.009376890502117319
KCNQ1	1.0	0.009376890502117263
MYL2	20.0	0.009376890502117319
ATG4B	13.0	-0.008166969147005543
EZR	0.0	0.009376890502117263
ABCB6	14.0	-0.008166969147005543
PLA2G5	14.0	-0.008166969147005543
SPATA6	2.0	0.009376890502117263
STYXL1	14.0	-0.008166969147005543
CENPC	1.0	0.009376890502117263
AURKA	9.0	0.009376890502117263
MYH11	18.0	0.009376890502117319
NPTX1	16.0	-0.008166969147005543
SAC3D1	12.0	-0.008166969147005543
CFAP70	17.0	0.009376890502117319
CEP152	12.0	-0.008166969147005543
NLE1	13.0	-0.008166969147005543
ATG16L2	15.0	-0.008166969147005543
CENPJ	12.0	-0.008166969147005543
TUBGCP5	1.0	0.009376890502117263
CEP162	12.0	-0.008166969147005543
TUBGCP6	16.0	-0.008166969147005543
TUBGCP3	3.0	0.009376890502117263
B9D1	19.0	0.009376890502117319
CENPN	2.0	0.009376890502117263
CCDC66	14.0	-0.008166969147005543
CLUAP1	15.0	-0.008166969147005543
DNAL1	10.0	0.009376890502117263
HSPA1A	13.0	-0.008166969147005543
CDS2	5.0	0.009376890502117263
