Item ID	Item value	Change in Kuiper test statistic when item removed
CD86	16.0	0.0016315994545100798
SLC27A1	14.0	-0.005552308591466937
CAB39L	23.0	0.011689070718877925
DIRAS1	19.0	0.011689070718877925
CIB1	7.0	-0.005552308591467048
TNF	8.0	-0.005552308591467048
BBC3	9.0	-0.005552308591467048
CASP9	15.0	-0.005552308591466937
FLCN	11.0	-0.005552308591467048
EPM2AIP1	11.0	-0.005552308591467048
CASP8	4.0	0.011689070718877814
EPHB1	22.0	0.011689070718877925
SOX7	4.0	0.011689070718877814
CD33	11.0	-0.005552308591467048
GARNL3	19.0	0.011689070718877925
EDN1	23.0	0.011689070718877925
HSP90AA1	16.0	0.0016315994545100798
RIPK3	12.0	-0.005552308591467048
VRK3	14.0	-0.005552308591466937
CDC25B	11.0	-0.005552308591467048
MOB3C	11.0	-0.005552308591467048
TBC1D1	16.0	0.0016315994545100798
TRAF4	1.0	0.011689070718877814
CKS2	10.0	-0.005552308591467048
TYRO3	15.0	-0.005552308591466937
FAM20A	7.0	-0.005552308591467048
MET	13.0	-0.005552308591467048
S100A9	3.0	0.011689070718877814
NGEF	5.0	0.011689070718877814
CSF1R	8.0	-0.005552308591467048
RGS16	7.0	-0.005552308591467048
MST1R	10.0	-0.005552308591467048
PLA2G5	14.0	-0.005552308591466937
HSPD1	15.0	-0.005552308591466937
CCNB1	9.0	-0.005552308591467048
CHTF8	12.0	-0.005552308591467048
ERBB4	18.0	0.011689070718877925
CLEC7A	2.0	0.011689070718877814
CCL2	10.0	-0.005552308591467048
ALKAL2	1.0	0.011689070718877814
EGR1	12.0	-0.005552308591467048
GINS2	18.0	0.011689070718877925
TGFB1	7.0	-0.005552308591467048
ANGPT1	18.0	0.011689070718877925
CARD8	12.0	-0.005552308591467048
FN1	24.0	0.011689070718877925
PILRB	14.0	-0.005552308591466937
KLF4	23.0	0.011689070718877925
SELE	8.0	-0.005552308591467048
ARHGAP25	7.0	-0.005552308591467048
TBCK	14.0	-0.005552308591466937
RAD50	13.0	-0.005552308591467048
KITLG	12.0	-0.005552308591467048
CDK5	15.0	-0.005552308591466937
MAP3K10	13.0	-0.005552308591467048
NMUR1	1.0	0.011689070718877814
GHRL	3.0	0.011689070718877814
CCL26	9.0	-0.005552308591467048
HSPA1A	13.0	-0.005552308591467048
